"Sample_Number","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Candidatus_Korarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Crenarchaeota"
"s15629",6,0,0,0,0,0,2,1,1,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,2,0,10,0,2,10,15,0,0,4,2,0,1,5,0,0,20,0,0,2,0,13,101,21,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,11,0,1,0,0,17,0,0,0,6,4,0,0,0,6,3,27,0,0,5,0,0,0,0,1,4,594,0,0,0,0,0,0,0
"s15626",3,1,0,0,0,0,1,1,0,0,1,0,0,0,859,0,0,0,0,0,0,0,0,1,0,0,4,0,2,7,18,0,0,3,6,0,0,1,0,0,13,0,1,2,0,20,191,2,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,3578,0,0,0,2,10,0,1,0,0,2,0,0,0,9,8,0,0,1,5,0,57,0,0,13,1,0,0,0,0,1,832,0,0,0,0,0,0,0
"s15708",3,0,0,0,0,0,6,1,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,30,0,0,0,0,6,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,3,0,8,0,0,0,0,0,0,0,0,2,95,0,0,0,0,0,0,0
"s15733",1,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,4,1,0,0,5,0,0,1,0,2,0,0,5,9,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,77,0,0,0,0,0,0,0
"s15627",54,7,2,0,0,0,47,18,34,0,1,5,0,4,5808,2,0,0,1,0,0,1,0,4,7,0,312,1,56,39,79,2,0,25,72,2,1,70,0,0,407,0,1,26,0,124,1346,7,23,0,1,63,1,59,1,0,0,1,0,0,0,0,3,19825,0,0,0,22,105,2,3,3,1,77,0,0,0,108,28,6,0,1,85,15,187,1,0,78,51,1,0,0,11,62,7000,3,0,0,0,0,0,0
"s15672",4,0,0,0,0,0,4,1,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,6,2,0,8,0,1,0,1,1,0,0,10,0,1,12,0,1,1,0,7,19,0,1,0,0,0,33,0,0,0,0,0,0,0,1,0,0,122,0,0,0,2,4,0,0,0,0,3,0,0,0,9,4,0,0,0,2,0,5,0,0,2,7,0,0,0,0,8,108,2,0,0,0,0,0,0
"s16300",2,1,0,0,0,0,1,1,2,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,4,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,16,70,1,0,0,0,0,0,0
"s16266",5,0,0,0,0,0,0,0,11,1,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,2,0,0,4,0,0,6,0,0,0,0,4,4,87,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,65,0,0,0,0,0,0,0,0,0,152,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,124,1,0,0,0,0,0,0
"s16165",65,25,0,0,1,0,29,14,41,3,1,3,0,8,3917,3,1,0,0,0,0,0,0,12,22,0,410,1,130,71,104,1,0,29,136,2,1,66,11,1,403,0,1,22,2,71,2344,6,42,0,1,191,1,36,0,0,0,0,0,0,0,0,1,49611,0,0,0,25,181,0,2,1,0,48,4,1,0,171,9,5,0,1,139,7,41,0,0,137,155,3,1,1,4,68,8444,7,2,3,0,0,0,0
"s16275",3,0,0,0,0,0,14,0,1,1,1,0,0,0,311,0,0,0,1,0,0,1,0,0,0,0,6,0,1,5,0,1,0,0,5,0,0,10,0,0,4,0,0,0,0,11,11,6,0,0,0,2,45,0,0,0,0,0,0,0,2,0,0,47,0,0,0,0,4,0,0,0,0,21,0,0,0,2,1,0,0,0,0,0,9,0,0,0,4,0,0,0,2,0,145,1,0,0,0,0,0,0
