"Sample_Number","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Candidatus_Korarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Crenarchaeota"
"s15730",2,0,0,0,0,0,2,1,0,0,1,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,6,0,0,4,2,2,5,0,0,0,0,6,11,0,0,0,0,1,88,0,0,0,0,0,0,0,3,0,0,39,0,0,0,0,1,0,0,0,0,1,1,0,0,2,3,0,0,1,1,0,11,0,0,2,5,0,0,0,0,1,126,0,0,0,0,0,0,0
"s15736",1,0,0,0,0,0,2,0,0,0,0,0,0,0,191,0,0,0,2,0,0,1,0,0,0,0,4,0,0,9,0,0,0,0,1,0,0,7,0,0,2,0,0,0,0,7,6,1,1,0,0,1,26,0,0,0,0,0,0,0,1,0,0,55,0,0,0,1,0,0,0,0,0,3,0,0,0,2,3,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,87,1,0,0,0,0,0,0
"s15616",6,0,0,0,0,0,9,9,7,0,0,3,1,0,1600,2,0,0,0,0,0,0,0,0,3,0,22,0,14,17,15,1,0,3,16,0,1,11,0,0,39,1,0,2,0,51,228,37,7,0,0,5,0,4,0,0,0,0,0,0,0,0,1,8268,0,0,0,6,19,0,0,3,0,65,0,0,0,13,13,0,0,0,9,0,59,0,0,18,1,1,1,0,1,12,1476,1,0,0,0,0,0,0
"s15639",59,4,1,0,0,1,30,9,39,0,1,2,0,0,5235,2,0,0,0,0,0,0,0,5,7,0,200,0,174,44,64,1,1,22,60,1,0,52,0,0,324,0,0,27,1,120,1355,25,14,0,1,73,0,57,0,0,0,0,0,0,0,0,5,63418,0,0,0,15,100,0,2,0,0,139,0,1,0,190,29,9,0,2,75,6,174,0,0,65,81,1,0,1,14,51,8138,3,1,0,0,0,0,0
"s15706",0,0,0,0,0,0,0,2,1,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,1,0,6,0,0,2,0,0,0,0,3,11,6,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,71,0,0,0,1,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,108,1,0,0,0,0,0,0
"s15650",14,0,0,0,0,0,17,2,0,0,0,1,0,0,1876,0,0,0,0,0,0,0,0,2,4,0,2,0,9,15,12,0,0,1,26,0,0,13,0,0,15,0,1,4,1,60,273,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4061,0,0,0,0,15,0,0,0,0,2,0,0,0,8,11,2,0,3,12,1,107,0,0,19,3,0,0,0,0,6,1312,0,1,0,0,0,0,0
"s15704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,11,2,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,92,0,0,0,0,0,0,0
"s15735",0,1,0,0,0,0,4,2,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,3,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,115,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0,21,93,0,0,0,0,0,0,0
"s15699",1,0,0,0,0,0,0,0,1,0,0,0,0,0,221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,9,8,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,2,79,0,0,0,0,0,0,0
"s15707",0,1,0,0,0,0,1,0,1,0,0,0,0,0,200,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0,2,0,0,1,0,1,13,0,0,0,0,0,43,0,0,0,0,0,0,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,89,0,0,0,0,0,0,0
