Column_Names,Sums
Euryarchaeota,386
Euryarchaeota,75
Crenarchaeota,6
Euryarchaeota,0
Euryarchaeota,3
Euryarchaeota,3
Euryarchaeota,213
Euryarchaeota,78
Euryarchaeota,499
Crenarchaeota,10
Crenarchaeota,7
Euryarchaeota,18
Euryarchaeota,0
Euryarchaeota,23
Euryarchaeota,26806
Thaumarchaeota,6
Euryarchaeota,1
Euryarchaeota,3
Euryarchaeota,6
Crenarchaeota,0
Crenarchaeota,0
Euryarchaeota,12
Euryarchaeota,0
Euryarchaeota,40
Euryarchaeota,59
Euryarchaeota,1
Thaumarchaeota,1575
Euryarchaeota,4
Euryarchaeota,442
Euryarchaeota,361
Euryarchaeota,447
Euryarchaeota,9
Euryarchaeota,2
Euryarchaeota,135
Euryarchaeota,455
Euryarchaeota,5
Euryarchaeota,6
Euryarchaeota,396
Euryarchaeota,26
Crenarchaeota,3
Euryarchaeota,1999
Euryarchaeota,0
Euryarchaeota,14
Euryarchaeota,120
Crenarchaeota,9
Crenarchaeota,554
Euryarchaeota,9312
Euryarchaeota,325
Euryarchaeota,140
Euryarchaeota,0
Euryarchaeota,8
Euryarchaeota,630
Thaumarchaeota,433
Euryarchaeota,200
Euryarchaeota,1
Thaumarchaeota,0
Crenarchaeota,2
Euryarchaeota,3
Thaumarchaeota,4
Euryarchaeota,0
Euryarchaeota,13
Euryarchaeota,0
Euryarchaeota,16
Crenarchaeota,190645
Euryarchaeota,0
Euryarchaeota,1
Euryarchaeota,0
Euryarchaeota,114
Euryarchaeota,708
Euryarchaeota,7
Euryarchaeota,17
Euryarchaeota,14
Crenarchaeota,1
Euryarchaeota,813
Euryarchaeota,8
Euryarchaeota,2
Euryarchaeota,0
Euryarchaeota,773
Euryarchaeota,131
Euryarchaeota,29
Crenarchaeota,1
Euryarchaeota,18
Euryarchaeota,548
Euryarchaeota,53
Crenarchaeota,738
Crenarchaeota,1
Candidatus_Korarchaeota,1
Euryarchaeota,543
Euryarchaeota,500
Crenarchaeota,7
Euryarchaeota,1
Euryarchaeota,3
Euryarchaeota,43
Euryarchaeota,340
Euryarchaeota,39977
Euryarchaeota,26
Euryarchaeota,5
Crenarchaeota,4
Euryarchaeota,0
Thaumarchaeota,0
Crenarchaeota,0
Crenarchaeota,0
