Column_Names,Sums
Euryarchaeota,1703
Euryarchaeota,213
Crenarchaeota,7
Euryarchaeota,0
Euryarchaeota,17
Euryarchaeota,5
Euryarchaeota,1114
Euryarchaeota,308
Euryarchaeota,2879
Crenarchaeota,51
Crenarchaeota,32
Euryarchaeota,85
Euryarchaeota,1
Euryarchaeota,46
Euryarchaeota,161672
Thaumarchaeota,208
Euryarchaeota,16
Euryarchaeota,13
Euryarchaeota,113
Crenarchaeota,3
Crenarchaeota,0
Euryarchaeota,116
Euryarchaeota,0
Euryarchaeota,97
Euryarchaeota,150
Euryarchaeota,10
Thaumarchaeota,4648
Euryarchaeota,29
Euryarchaeota,2338
Euryarchaeota,1820
Euryarchaeota,1574
Euryarchaeota,163
Euryarchaeota,13
Euryarchaeota,553
Euryarchaeota,1648
Euryarchaeota,24
Euryarchaeota,16
Euryarchaeota,2310
Euryarchaeota,80
Crenarchaeota,57
Euryarchaeota,7208
Euryarchaeota,2
Euryarchaeota,96
Euryarchaeota,516
Crenarchaeota,43
Crenarchaeota,3556
Euryarchaeota,30633
Euryarchaeota,2590
Euryarchaeota,506
Euryarchaeota,1
Euryarchaeota,37
Euryarchaeota,1831
Thaumarchaeota,7803
Euryarchaeota,742
Euryarchaeota,3
Thaumarchaeota,9
Crenarchaeota,1
Euryarchaeota,8
Thaumarchaeota,40
Euryarchaeota,5
Euryarchaeota,108
Euryarchaeota,3
Euryarchaeota,69
Crenarchaeota,911975
Euryarchaeota,3
Euryarchaeota,3
Euryarchaeota,3
Euryarchaeota,514
Euryarchaeota,2373
Euryarchaeota,7
Euryarchaeota,107
Euryarchaeota,65
Crenarchaeota,7
Euryarchaeota,7179
Euryarchaeota,70
Euryarchaeota,13
Euryarchaeota,1
Euryarchaeota,3177
Euryarchaeota,1088
Euryarchaeota,123
Crenarchaeota,1
Euryarchaeota,74
Euryarchaeota,1750
Euryarchaeota,146
Crenarchaeota,5240
Crenarchaeota,4
Candidatus_Korarchaeota,4
Euryarchaeota,1793
Euryarchaeota,1457
Crenarchaeota,45
Euryarchaeota,8
Euryarchaeota,20
Euryarchaeota,163
Euryarchaeota,1964
Euryarchaeota,165310
Euryarchaeota,203
Euryarchaeota,9
Crenarchaeota,11
Euryarchaeota,1
Thaumarchaeota,2
Crenarchaeota,1
Crenarchaeota,0
