Column_Names,Sums
Euryarchaeota,1024
Euryarchaeota,90
Crenarchaeota,10
Euryarchaeota,0
Euryarchaeota,9
Euryarchaeota,3
Euryarchaeota,701
Euryarchaeota,170
Euryarchaeota,1645
Crenarchaeota,29
Crenarchaeota,33
Euryarchaeota,51
Euryarchaeota,4
Euryarchaeota,49
Euryarchaeota,121997
Thaumarchaeota,100
Euryarchaeota,2
Euryarchaeota,5
Euryarchaeota,47
Crenarchaeota,0
Crenarchaeota,0
Euryarchaeota,40
Euryarchaeota,1
Euryarchaeota,75
Euryarchaeota,124
Euryarchaeota,4
Thaumarchaeota,3724
Euryarchaeota,11
Euryarchaeota,1823
Euryarchaeota,1159
Euryarchaeota,1108
Euryarchaeota,195
Euryarchaeota,7
Euryarchaeota,426
Euryarchaeota,976
Euryarchaeota,10
Euryarchaeota,9
Euryarchaeota,1387
Euryarchaeota,54
Crenarchaeota,31
Euryarchaeota,4837
Euryarchaeota,5
Euryarchaeota,37
Euryarchaeota,414
Crenarchaeota,31
Crenarchaeota,2558
Euryarchaeota,20966
Euryarchaeota,1224
Euryarchaeota,344
Euryarchaeota,1
Euryarchaeota,16
Euryarchaeota,1220
Thaumarchaeota,2985
Euryarchaeota,644
Euryarchaeota,2
Thaumarchaeota,5
Crenarchaeota,1
Euryarchaeota,1
Thaumarchaeota,16
Euryarchaeota,0
Euryarchaeota,46
Euryarchaeota,1
Euryarchaeota,40
Crenarchaeota,764416
Euryarchaeota,0
Euryarchaeota,1
Euryarchaeota,7
Euryarchaeota,301
Euryarchaeota,1705
Euryarchaeota,8
Euryarchaeota,25
Euryarchaeota,32
Crenarchaeota,4
Euryarchaeota,3645
Euryarchaeota,42
Euryarchaeota,10
Euryarchaeota,1
Euryarchaeota,2009
Euryarchaeota,711
Euryarchaeota,98
Crenarchaeota,3
Euryarchaeota,32
Euryarchaeota,1230
Euryarchaeota,110
Crenarchaeota,3725
Crenarchaeota,2
Candidatus_Korarchaeota,2
Euryarchaeota,1172
Euryarchaeota,939
Crenarchaeota,31
Euryarchaeota,7
Euryarchaeota,18
Euryarchaeota,124
Euryarchaeota,1526
Euryarchaeota,121737
Euryarchaeota,101
Euryarchaeota,8
Crenarchaeota,10
Euryarchaeota,2
Thaumarchaeota,1
Crenarchaeota,1
Crenarchaeota,0
