Column_Names,Sums
Euryarchaeota,519
Euryarchaeota,193
Crenarchaeota,3
Euryarchaeota,0
Euryarchaeota,10
Euryarchaeota,2
Euryarchaeota,318
Euryarchaeota,136
Euryarchaeota,568
Crenarchaeota,25
Crenarchaeota,17
Euryarchaeota,35
Euryarchaeota,2
Euryarchaeota,26
Euryarchaeota,37941
Thaumarchaeota,29
Euryarchaeota,1
Euryarchaeota,8
Euryarchaeota,22
Crenarchaeota,0
Crenarchaeota,0
Euryarchaeota,21
Euryarchaeota,1
Euryarchaeota,38
Euryarchaeota,93
Euryarchaeota,2
Thaumarchaeota,2839
Euryarchaeota,24
Euryarchaeota,1123
Euryarchaeota,671
Euryarchaeota,712
Euryarchaeota,26
Euryarchaeota,4
Euryarchaeota,213
Euryarchaeota,1103
Euryarchaeota,19
Euryarchaeota,14
Euryarchaeota,808
Euryarchaeota,65
Crenarchaeota,10
Euryarchaeota,3064
Euryarchaeota,4
Euryarchaeota,32
Euryarchaeota,152
Crenarchaeota,21
Crenarchaeota,866
Euryarchaeota,15688
Euryarchaeota,246
Euryarchaeota,261
Euryarchaeota,0
Euryarchaeota,18
Euryarchaeota,1126
Thaumarchaeota,1664
Euryarchaeota,264
Euryarchaeota,2
Thaumarchaeota,6
Crenarchaeota,0
Euryarchaeota,6
Thaumarchaeota,3
Euryarchaeota,1
Euryarchaeota,16
Euryarchaeota,0
Euryarchaeota,19
Crenarchaeota,367406
Euryarchaeota,2
Euryarchaeota,0
Euryarchaeota,0
Euryarchaeota,192
Euryarchaeota,1213
Euryarchaeota,1
Euryarchaeota,31
Euryarchaeota,27
Crenarchaeota,5
Euryarchaeota,1021
Euryarchaeota,17
Euryarchaeota,6
Euryarchaeota,1
Euryarchaeota,1282
Euryarchaeota,194
Euryarchaeota,54
Crenarchaeota,0
Euryarchaeota,30
Euryarchaeota,877
Euryarchaeota,47
Crenarchaeota,924
Crenarchaeota,1
Candidatus_Korarchaeota,1
Euryarchaeota,893
Euryarchaeota,947
Crenarchaeota,14
Euryarchaeota,6
Euryarchaeota,11
Euryarchaeota,85
Euryarchaeota,473
Euryarchaeota,64601
Euryarchaeota,76
Euryarchaeota,2
Crenarchaeota,4
Euryarchaeota,0
Thaumarchaeota,0
Crenarchaeota,0
Crenarchaeota,0
