Site,Phylum,Percentage
Larynx,Crenarchaeota,68.48569661
Larynx,Euryarchaeota,30.56892336
Larynx,Thaumarchaeota,0.945082596
Larynx,Candidatus_Korarchaeota,0.00029743
Gum,Crenarchaeota,68.08664567
Gum,Euryarchaeota,31.19733594
Gum,Thaumarchaeota,0.715663744
Gum,Candidatus_Korarchaeota,0.00035464
Tongue,Crenarchaeota,72.19242138
Tongue,Euryarchaeota,26.91967846
Tongue,Thaumarchaeota,0.887704674
Tongue,Candidatus_Korarchaeota,0.000195487
Mouth,Crenarchaeota,71.62208742
Mouth,Euryarchaeota,27.74306598
Mouth,Thaumarchaeota,0.634660785
Mouth,Candidatus_Korarchaeota,0.000185818
