Site,Phylum,Percentage
Tongue,Firmicutes,49.56800622
Tongue,Actinobacteria,23.23762034
Tongue,Proteobacteria,20.56653029
Tongue,Chlamydiae,3.494638344
Tongue,Bacteroidetes,2.071086658
Tongue,Others,1.062118146
Mouth,Firmicutes,37.45515106
Mouth,Proteobacteria,36.20189512
Mouth,Actinobacteria,18.42266493
Mouth,Chlamydiae,2.69868666
Mouth,Bacteroidetes,1.882908951
Mouth,Others,3.338693284
Gum,Firmicutes,44.81632275
Gum,Proteobacteria,25.45113681
Gum,Actinobacteria,22.78344078
Gum,Chlamydiae,3.469740474
Gum,Bacteroidetes,1.859114368
Gum,Others,1.620244827
Larynx,Firmicutes,39.21830742
Larynx,Proteobacteria,34.13179593
Larynx,Actinobacteria,21.39169982
Larynx,Bacteroidetes,1.729337977
Larynx,Chlamydiae,1.704429754
Larynx,Others,1.82442911
