Column_Names,Sums
Acidobacteria,5014
Actinobacteria,11445346
Aquificae,722
Armatimonadetes,26
Bacteroidetes,933933
Caldiserica,2
Candidatus_Cloacimonetes,2
Chlamydiae,1743037
Chlorobi,194
Chloroflexi,4976
Chrysiogenetes,83
Cyanobacteria,199660
Deferribacteres,226
Deinococcus,8548
Dictyoglomi,3
Elusimicrobia,31
Fibrobacteres,22
Firmicutes,22513646
Fusobacteria,124484
Gemmatimonadetes,104
Ignavibacteriae,15
k__Bacteria,20
Lentisphaerae,3
Nitrospinae,66
Nitrospirae,2254
Planctomycetes,161605
Proteobacteria,12785473
Rhodothermaeota,4
Spirochaetes,134546
Synergistetes,2605
Tenericutes,150957
Thermodesulfobacteria,2357
Thermotogae,4634
Verrucomicrobia,10773
