Column_Names,Sums
Acidobacteria,18373
Actinobacteria,90267218
Aquificae,2911
Armatimonadetes,127
Bacteroidetes,7297341
Caldiserica,43
Candidatus_Cloacimonetes,16
Chlamydiae,7192235
Chlorobi,890
Chloroflexi,16164
Chrysiogenetes,363
Cyanobacteria,901307
Deferribacteres,907
Deinococcus,52060
Dictyoglomi,101
Elusimicrobia,147
Fibrobacteres,286
Firmicutes,165490706
Fusobacteria,3425177
Gemmatimonadetes,453
Ignavibacteriae,38
k__Bacteria,98
Lentisphaerae,29
Nitrospinae,702
Nitrospirae,7948
Planctomycetes,954055
Proteobacteria,144026996
Rhodothermaeota,12
Spirochaetes,1213884
Synergistetes,10631
Tenericutes,972934
Thermodesulfobacteria,14110
Thermotogae,35827
Verrucomicrobia,69007
