Column_Names,Sums
Acidobacteria,15404
Actinobacteria,43626031
Aquificae,2172
Armatimonadetes,120
Bacteroidetes,4458847
Caldiserica,26
Candidatus_Cloacimonetes,56
Chlamydiae,6390660
Chlorobi,644
Chloroflexi,11961
Chrysiogenetes,384
Cyanobacteria,664096
Deferribacteres,853
Deinococcus,44660
Dictyoglomi,25
Elusimicrobia,92
Fibrobacteres,241
Firmicutes,88696157
Fusobacteria,2501340
Gemmatimonadetes,1484
Ignavibacteriae,105
k__Bacteria,93
Lentisphaerae,13
Nitrospinae,375
Nitrospirae,5908
Planctomycetes,746272
Proteobacteria,85728368
Rhodothermaeota,66
Spirochaetes,3081766
Synergistetes,6093
Tenericutes,722320
Thermodesulfobacteria,11348
Thermotogae,29741
Verrucomicrobia,58578
