Column_Names,Sums
Acidobacteria,7815
Actinobacteria,21735960
Aquificae,742
Armatimonadetes,83
Bacteroidetes,1937249
Caldiserica,10
Candidatus_Cloacimonetes,9
Chlamydiae,3268808
Chlorobi,484
Chloroflexi,9474
Chrysiogenetes,143
Cyanobacteria,322131
Deferribacteres,458
Deinococcus,8879
Dictyoglomi,14
Elusimicrobia,93
Fibrobacteres,63
Firmicutes,46364825
Fusobacteria,10575
Gemmatimonadetes,332
Ignavibacteriae,6
k__Bacteria,31
Lentisphaerae,6
Nitrospinae,170
Nitrospirae,2750
Planctomycetes,206639
Proteobacteria,19237481
Rhodothermaeota,5
Spirochaetes,169805
Synergistetes,5371
Tenericutes,204650
Thermodesulfobacteria,3215
Thermotogae,4908
Verrucomicrobia,34621
