Site,Phylum,Percentage
Larynx,Polydnaviridae,24.2428992
Larynx,Papillomaviridae,18.30046809
Larynx,Herpesviridae,10.14932328
Larynx,Alloherpesviridae,6.516849173
Larynx,Betaflexiviridae,4.89568551
Larynx,Others,35.89477474
Gum,Papillomaviridae,73.82818828
Gum,Polydnaviridae,8.441270311
Gum,Herpesviridae,3.246209
Gum,Alloherpesviridae,2.644015749
Gum,Phycodnaviridae,1.592466598
Gum,Others,10.24785006
Tongue,Papillomaviridae,78.96583705
Tongue,Polydnaviridae,7.79082805
Tongue,Herpesviridae,2.257689433
Tongue,Alloherpesviridae,1.791547853
Tongue,Phycodnaviridae,1.560380388
Tongue,Others,7.633717228
Mouth,Polydnaviridae,26.0078109
Mouth,Herpesviridae,20.36099816
Mouth,Alloherpesviridae,7.930111459
Mouth,Betaflexiviridae,6.401573882
Mouth,Partitiviridae,5.085861393
Mouth,Others,34.21364421
