Column_Names,Sums
Phycodnaviridae,34
Siphoviridae,14
Herpesviridae,1514
Siphoviridae,2
Poxviridae,8
Papillomaviridae,0
Siphoviridae,0
Bornaviridae,6
Bicaudaviridae,8
Picornaviridae,24
Herpesviridae,28
Herpesviridae,2086
Baculoviridae,64
Papillomaviridae,34
Myoviridae,64
Virgaviridae,598
Herpesviridae,814
Alloherpesviridae,2116
Inoviridae,0
Marseilleviridae,0
Coronaviridae,92
Anelloviridae,6
Ascoviridae,214
Tymoviridae,0
k__Viruses,0
Myoviridae,612
Circoviridae,6
Rhabdoviridae,0
Picornaviridae,36
k__Viruses,0
Picornaviridae,424
Poxviridae,562
Tymoviridae,238
Arenaviridae,0
Totiviridae,0
Flaviviridae,646
Poxviridae,18
Anelloviridae,52
Gammaflexiviridae,0
k__Viruses,28
Hepeviridae,40
Virgaviridae,14
Caulimoviridae,2
Polydnaviridae,18666
Herpesviridae,672
Papillomaviridae,4
Togaviridae,564
Betaflexiviridae,0
Podoviridae,0
Alphaflexiviridae,112
Phycodnaviridae,1366
Lipothrixviridae,0
Papillomaviridae,0
Retroviridae,84
Siphoviridae,0
Poxviridae,48
Poxviridae,42
k__Viruses,46
Potyviridae,0
Podoviridae,6
Picornaviridae,0
Secoviridae,0
Siphoviridae,0
Coronaviridae,52
Baculoviridae,1918
Papillomaviridae,0
Siphoviridae,0
Myoviridae,0
Papillomaviridae,0
Papillomaviridae,22
Coronaviridae,6
Luteoviridae,0
Phycodnaviridae,380
Hypoviridae,130
Anelloviridae,0
Dicistroviridae,10
k__Viruses,4
Phycodnaviridae,524
Picornaviridae,30
Virgaviridae,246
Siphoviridae,0
Baculoviridae,660
Arenaviridae,16
Marnaviridae,0
Myoviridae,0
Myoviridae,8
Partitiviridae,1710
Reoviridae,4
Betaflexiviridae,2832
Coronaviridae,22
Paramyxoviridae,0
Herpesviridae,2
Bromoviridae,356
Bunyaviridae,6
Closteroviridae,28
Myoviridae,6
Siphoviridae,0
Fuselloviridae,2
Bunyaviridae,2
Picornaviridae,106
Bunyaviridae,2158
Mimiviridae,30
Poxviridae,2
Potyviridae,172
Herpesviridae,98
Picornaviridae,192
Podoviridae,0
Retroviridae,6
Secoviridae,18
Polydnaviridae,5304
Herpesviridae,22
Luteoviridae,0
Flaviviridae,24
Poxviridae,198
Geminiviridae,0
Alloherpesviridae,5328
Nyamiviridae,46
Potyviridae,0
Retroviridae,2
Microviridae,174
Siphoviridae,2
Iridoviridae,2
Picornaviridae,0
Iridoviridae,2
Alphaflexiviridae,0
Myoviridae,0
Caliciviridae,4
Poxviridae,334
k__Viruses,0
Paramyxoviridae,0
Chrysoviridae,384
Myoviridae,0
k__Viruses,152
Astroviridae,172
Secoviridae,8
Rudiviridae,6
Herpesviridae,372
Polyomaviridae,640
Alloherpesviridae,64
Picornaviridae,38
Secoviridae,214
Myoviridae,2
Poxviridae,130
Adenoviridae,42
Herpesviridae,638
Picornaviridae,160
Podoviridae,1030
Herpesviridae,2448
Adenoviridae,394
Lipothrixviridae,0
Iridoviridae,62
Closteroviridae,0
Siphoviridae,0
Siphoviridae,0
Orthomyxoviridae,26
Poxviridae,202
Papillomaviridae,0
Phycodnaviridae,2218
Bunyaviridae,4
Picornaviridae,106
Siphoviridae,14
Dicistroviridae,18
Siphoviridae,20
Hytrosaviridae,142
Herpesviridae,504
Bromoviridae,2
Closteroviridae,126
Papillomaviridae,32
Papillomaviridae,209552
Partitiviridae,1242
Mimiviridae,34
Malacoherpesviridae,8
k__Viruses,0
Alphaflexiviridae,52
Siphoviridae,0
Retroviridae,66
Circoviridae,3974
Betaflexiviridae,0
Secoviridae,134
Iflaviridae,128
Iridoviridae,366
Flaviviridae,736
Astroviridae,364
Virgaviridae,2
Roniviridae,18
k__Viruses,22
Bromoviridae,38
Herpesviridae,20
Nimaviridae,630
Hytrosaviridae,852
Virgaviridae,82
Siphoviridae,0
Myoviridae,40
Tymoviridae,4
Myoviridae,0
Myoviridae,0
Myoviridae,0
Papillomaviridae,0
Picornaviridae,0
Myoviridae,0
Siphoviridae,0
Endornaviridae,0
Reoviridae,0
Adenoviridae,0
Orthomyxoviridae,0
Alphaflexiviridae,0
Poxviridae,6
Podoviridae,4
Parvoviridae,0
Myoviridae,0
Baculoviridae,0
Siphoviridae,0
Picornaviridae,0
Ampullaviridae,0
Tectiviridae,0
Caulimoviridae,0
Anelloviridae,0
Papillomaviridae,0
Parvoviridae,0
Rhabdoviridae,0
Poxviridae,0
Anelloviridae,0
Turriviridae,0
Caulimoviridae,0
Siphoviridae,0
Myoviridae,0
Globuloviridae,0
Reoviridae,0
Reoviridae,0
Benyviridae,0
Parvoviridae,0
Asfarviridae,0
Luteoviridae,0
Paramyxoviridae,2
Filoviridae,0
Fuselloviridae,0
Picornaviridae,0
Bromoviridae,0
Podoviridae,0
Coronaviridae,0
Inoviridae,2
Secoviridae,0
Paramyxoviridae,0
k__Viruses,0
Siphoviridae,0
Alphaflexiviridae,0
Togaviridae,0
Betaflexiviridae,0
Siphoviridae,0
Sphaerolipoviridae,0
Myoviridae,0
Parvoviridae,0
Papillomaviridae,0
Siphoviridae,0
Siphoviridae,0
Caulimoviridae,0
Caulimoviridae,0
Sphaerolipoviridae,0
Siphoviridae,0
Myoviridae,0
Flaviviridae,0
Adenoviridae,0
Parvoviridae,0
Anelloviridae,0
Myoviridae,0
Siphoviridae,0
Retroviridae,0
Paramyxoviridae,0
Reoviridae,0
Lipothrixviridae,0
Reoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Hepadnaviridae,0
Parvoviridae,0
Alphaflexiviridae,0
Picornaviridae,0
Mesoniviridae,0
Siphoviridae,0
Tombusviridae,0
Parvoviridae,0
k__Viruses,0
Secoviridae,0
Filoviridae,0
Geminiviridae,0
k__Viruses,0
Picornaviridae,0
Leviviridae,0
Picornaviridae,0
Retroviridae,0
Paramyxoviridae,0
Parvoviridae,0
Podoviridae,0
Reoviridae,0
Bromoviridae,0
Nanoviridae,0
Totiviridae,0
Nanoviridae,0
Papillomaviridae,0
Caulimoviridae,0
Tombusviridae,0
Totiviridae,0
Siphoviridae,0
Parvoviridae,0
Siphoviridae,0
Siphoviridae,0
Siphoviridae,0
Tombusviridae,0
Papillomaviridae,0
Orthomyxoviridae,0
Podoviridae,0
Podoviridae,0
Anelloviridae,0
Barnaviridae,0
Parvoviridae,0
Narnaviridae,0
Siphoviridae,0
Arteriviridae,0
Rhabdoviridae,0
Potyviridae,0
Geminiviridae,0
Picornaviridae,0
Siphoviridae,0
Myoviridae,0
k__Viruses,0
Megabirnaviridae,0
Corticoviridae,0
Bunyaviridae,0
Caulimoviridae,0
Retroviridae,0
Reoviridae,0
Myoviridae,0
k__Viruses,0
Narnaviridae,0
Reoviridae,0
Totiviridae,0
Siphoviridae,0
Potyviridae,0
Papillomaviridae,0
Reoviridae,0
Anelloviridae,0
Potyviridae,0
Iridoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Closteroviridae,0
Papillomaviridae,0
Betaflexiviridae,0
k__Viruses,0
Hepadnaviridae,0
Siphoviridae,0
Podoviridae,0
Siphoviridae,0
Caliciviridae,0
Leviviridae,0
Microviridae,0
Siphoviridae,0
Picornaviridae,0
Plasmaviridae,0
Siphoviridae,0
Microviridae,0
Papillomaviridae,0
Siphoviridae,0
