Column_Names,Sums
Adenoviridae,436
Alloherpesviridae,7508
Alphaflexiviridae,164
Ampullaviridae,0
Anelloviridae,58
Arenaviridae,16
Arteriviridae,0
Ascoviridae,214
Asfarviridae,0
Astroviridae,536
Baculoviridae,2642
Barnaviridae,0
Benyviridae,0
Betaflexiviridae,2832
Bicaudaviridae,8
Bornaviridae,6
Bromoviridae,396
Bunyaviridae,2170
Caliciviridae,4
Caulimoviridae,2
Chrysoviridae,384
Circoviridae,3980
Closteroviridae,154
Coronaviridae,172
Corticoviridae,0
Dicistroviridae,28
Endornaviridae,0
Filoviridae,0
Flaviviridae,1406
Fuselloviridae,2
Gammaflexiviridae,0
Geminiviridae,0
Globuloviridae,0
Hepadnaviridae,0
Hepeviridae,40
Herpesviridae,9218
Hypoviridae,130
Hytrosaviridae,994
Iflaviridae,128
Inoviridae,2
Iridoviridae,432
k__Viruses,252
Leviviridae,0
Lipothrixviridae,0
Luteoviridae,0
Malacoherpesviridae,8
Marnaviridae,0
Marseilleviridae,0
Megabirnaviridae,0
Mesoniviridae,0
Microviridae,174
Mimiviridae,64
Myoviridae,732
Nanoviridae,0
Narnaviridae,0
Nimaviridae,630
Nyamiviridae,46
Orthomyxoviridae,26
Papillomaviridae,209644
Paramyxoviridae,2
Partitiviridae,2952
Parvoviridae,0
Phycodnaviridae,4522
Picornaviridae,1116
Plasmaviridae,0
Podoviridae,1040
Polydnaviridae,23970
Polyomaviridae,640
Potyviridae,172
Poxviridae,1550
Reoviridae,4
Retroviridae,158
Rhabdoviridae,0
Roniviridae,18
Rudiviridae,6
Secoviridae,374
Siphoviridae,52
Sphaerolipoviridae,0
Tectiviridae,0
Togaviridae,564
Tombusviridae,0
Totiviridae,0
Turriviridae,0
Tymoviridae,242
Virgaviridae,942
