Column_Names,Sums
Phycodnaviridae,220
Siphoviridae,36
Herpesviridae,10662
Siphoviridae,4
Poxviridae,92
Papillomaviridae,4
Siphoviridae,2
Bornaviridae,2
Bicaudaviridae,20
Picornaviridae,228
Herpesviridae,54
Herpesviridae,10014
Baculoviridae,210
Papillomaviridae,120
Myoviridae,210
Virgaviridae,3984
Herpesviridae,3858
Alloherpesviridae,6978
Inoviridae,2
Marseilleviridae,2
Coronaviridae,788
Anelloviridae,18
Ascoviridae,938
Tymoviridae,2
k__Viruses,2
Myoviridae,4262
Circoviridae,8
Rhabdoviridae,4
Picornaviridae,278
k__Viruses,0
Picornaviridae,2972
Poxviridae,2884
Tymoviridae,1374
Arenaviridae,2
Totiviridae,0
Flaviviridae,4798
Poxviridae,62
Anelloviridae,368
Gammaflexiviridae,0
k__Viruses,130
Hepeviridae,152
Virgaviridae,100
Caulimoviridae,16
Polydnaviridae,83768
Herpesviridae,2366
Papillomaviridae,12
Togaviridae,4536
Betaflexiviridae,2
Podoviridae,0
Alphaflexiviridae,704
Phycodnaviridae,5260
Lipothrixviridae,6
Papillomaviridae,6
Retroviridae,1040
Siphoviridae,0
Poxviridae,334
Poxviridae,184
k__Viruses,306
Potyviridae,12
Podoviridae,28
Picornaviridae,12
Secoviridae,4
Siphoviridae,0
Coronaviridae,446
Baculoviridae,8514
Papillomaviridae,0
Siphoviridae,10
Myoviridae,0
Papillomaviridae,2
Papillomaviridae,148
Coronaviridae,34
Luteoviridae,0
Phycodnaviridae,1130
Hypoviridae,792
Anelloviridae,40
Dicistroviridae,60
k__Viruses,14
Phycodnaviridae,3688
Picornaviridae,172
Virgaviridae,1904
Siphoviridae,2
Baculoviridae,2614
Arenaviridae,114
Marnaviridae,0
Myoviridae,2
Myoviridae,52
Partitiviridae,11386
Reoviridae,16
Betaflexiviridae,23110
Coronaviridae,120
Paramyxoviridae,20
Herpesviridae,10
Bromoviridae,2840
Bunyaviridae,18
Closteroviridae,178
Myoviridae,16
Siphoviridae,2
Fuselloviridae,0
Bunyaviridae,36
Picornaviridae,860
Bunyaviridae,6690
Mimiviridae,136
Poxviridae,6
Potyviridae,1300
Herpesviridae,820
Picornaviridae,1108
Podoviridae,6
Retroviridae,20
Secoviridae,120
Polydnaviridae,30690
Herpesviridae,198
Luteoviridae,2
Flaviviridae,668
Poxviridae,624
Geminiviridae,2
Alloherpesviridae,23506
Nyamiviridae,82
Potyviridae,0
Retroviridae,58
Microviridae,2278
Siphoviridae,12
Iridoviridae,0
Picornaviridae,8
Iridoviridae,18
Alphaflexiviridae,0
Myoviridae,0
Caliciviridae,84
Poxviridae,794
k__Viruses,0
Paramyxoviridae,16
Chrysoviridae,1376
Myoviridae,0
k__Viruses,766
Astroviridae,1290
Secoviridae,6
Rudiviridae,18
Herpesviridae,1412
Polyomaviridae,5240
Alloherpesviridae,284
Picornaviridae,282
Secoviridae,1340
Myoviridae,150
Poxviridae,476
Adenoviridae,346
Herpesviridae,4980
Picornaviridae,1364
Podoviridae,3934
Herpesviridae,10100
Adenoviridae,1708
Lipothrixviridae,0
Iridoviridae,342
Closteroviridae,18
Siphoviridae,0
Siphoviridae,0
Orthomyxoviridae,128
Poxviridae,802
Papillomaviridae,2
Phycodnaviridae,9498
Bunyaviridae,10
Picornaviridae,630
Siphoviridae,70
Dicistroviridae,102
Siphoviridae,126
Hytrosaviridae,410
Herpesviridae,2348
Bromoviridae,18
Closteroviridae,156
Papillomaviridae,278
Papillomaviridae,85824
Partitiviridae,8944
Mimiviridae,138
Malacoherpesviridae,62
k__Viruses,0
Alphaflexiviridae,880
Siphoviridae,14
Retroviridae,784
Circoviridae,18752
Betaflexiviridae,2
Secoviridae,582
Iflaviridae,720
Iridoviridae,1084
Flaviviridae,5274
Astroviridae,3264
Virgaviridae,6
Roniviridae,14
k__Viruses,122
Bromoviridae,126
Herpesviridae,1096
Nimaviridae,9964
Hytrosaviridae,1542
Virgaviridae,530
Siphoviridae,2
Myoviridae,142
Tymoviridae,30
Myoviridae,4
Myoviridae,0
Myoviridae,0
Papillomaviridae,4
Picornaviridae,0
Myoviridae,0
Siphoviridae,0
Endornaviridae,2
Reoviridae,0
Adenoviridae,0
Orthomyxoviridae,0
Alphaflexiviridae,0
Poxviridae,64
Podoviridae,4
Parvoviridae,8
Myoviridae,0
Baculoviridae,2
Siphoviridae,0
Picornaviridae,0
Ampullaviridae,2
Tectiviridae,0
Caulimoviridae,0
Anelloviridae,0
Papillomaviridae,0
Parvoviridae,0
Rhabdoviridae,2
Poxviridae,0
Anelloviridae,0
Turriviridae,0
Caulimoviridae,0
Siphoviridae,0
Myoviridae,0
Globuloviridae,0
Reoviridae,0
Reoviridae,0
Benyviridae,2
Parvoviridae,0
Asfarviridae,0
Luteoviridae,0
Paramyxoviridae,0
Filoviridae,0
Fuselloviridae,0
Picornaviridae,0
Bromoviridae,0
Podoviridae,22
Coronaviridae,0
Inoviridae,0
Secoviridae,0
Paramyxoviridae,2
k__Viruses,0
Siphoviridae,0
Alphaflexiviridae,0
Togaviridae,0
Betaflexiviridae,0
Siphoviridae,0
Sphaerolipoviridae,0
Myoviridae,0
Parvoviridae,0
Papillomaviridae,2
Siphoviridae,0
Siphoviridae,0
Caulimoviridae,0
Caulimoviridae,0
Sphaerolipoviridae,0
Siphoviridae,0
Myoviridae,0
Flaviviridae,0
Adenoviridae,0
Parvoviridae,0
Anelloviridae,0
Myoviridae,0
Siphoviridae,0
Retroviridae,0
Paramyxoviridae,0
Reoviridae,2
Lipothrixviridae,0
Reoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Hepadnaviridae,58
Parvoviridae,0
Alphaflexiviridae,0
Picornaviridae,0
Mesoniviridae,0
Siphoviridae,0
Tombusviridae,0
Parvoviridae,0
k__Viruses,0
Secoviridae,2
Filoviridae,0
Geminiviridae,0
k__Viruses,0
Picornaviridae,0
Leviviridae,0
Picornaviridae,2
Retroviridae,0
Paramyxoviridae,0
Parvoviridae,2
Podoviridae,0
Reoviridae,0
Bromoviridae,0
Nanoviridae,0
Totiviridae,0
Nanoviridae,0
Papillomaviridae,0
Caulimoviridae,0
Tombusviridae,0
Totiviridae,0
Siphoviridae,0
Parvoviridae,0
Siphoviridae,0
Siphoviridae,0
Siphoviridae,0
Tombusviridae,0
Papillomaviridae,0
Orthomyxoviridae,0
Podoviridae,0
Podoviridae,0
Anelloviridae,0
Barnaviridae,0
Parvoviridae,0
Narnaviridae,0
Siphoviridae,0
Arteriviridae,0
Rhabdoviridae,0
Potyviridae,0
Geminiviridae,0
Picornaviridae,0
Siphoviridae,0
Myoviridae,0
k__Viruses,0
Megabirnaviridae,0
Corticoviridae,0
Bunyaviridae,0
Caulimoviridae,0
Retroviridae,0
Reoviridae,0
Myoviridae,0
k__Viruses,0
Narnaviridae,0
Reoviridae,0
Totiviridae,0
Siphoviridae,0
Potyviridae,0
Papillomaviridae,0
Reoviridae,0
Anelloviridae,0
Potyviridae,0
Iridoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Closteroviridae,0
Papillomaviridae,0
Betaflexiviridae,0
k__Viruses,0
Hepadnaviridae,0
Siphoviridae,0
Podoviridae,0
Siphoviridae,0
Caliciviridae,0
Leviviridae,0
Microviridae,0
Siphoviridae,0
Picornaviridae,0
Plasmaviridae,0
Siphoviridae,0
Microviridae,0
Papillomaviridae,0
Siphoviridae,0
