Column_Names,Sums
Adenoviridae,2054
Alloherpesviridae,30768
Alphaflexiviridae,1584
Ampullaviridae,2
Anelloviridae,426
Arenaviridae,116
Arteriviridae,0
Ascoviridae,938
Asfarviridae,0
Astroviridae,4554
Baculoviridae,11340
Barnaviridae,0
Benyviridae,2
Betaflexiviridae,23114
Bicaudaviridae,20
Bornaviridae,2
Bromoviridae,2984
Bunyaviridae,6754
Caliciviridae,84
Caulimoviridae,16
Chrysoviridae,1376
Circoviridae,18760
Closteroviridae,352
Coronaviridae,1388
Corticoviridae,0
Dicistroviridae,162
Endornaviridae,2
Filoviridae,0
Flaviviridae,10740
Fuselloviridae,0
Gammaflexiviridae,0
Geminiviridae,2
Globuloviridae,0
Hepadnaviridae,58
Hepeviridae,152
Herpesviridae,47918
Hypoviridae,792
Hytrosaviridae,1952
Iflaviridae,720
Inoviridae,2
Iridoviridae,1444
k__Viruses,1340
Leviviridae,0
Lipothrixviridae,6
Luteoviridae,2
Malacoherpesviridae,62
Marnaviridae,0
Marseilleviridae,2
Megabirnaviridae,0
Mesoniviridae,0
Microviridae,2278
Mimiviridae,274
Myoviridae,4838
Nanoviridae,0
Narnaviridae,0
Nimaviridae,9964
Nyamiviridae,82
Orthomyxoviridae,128
Papillomaviridae,86402
Paramyxoviridae,38
Partitiviridae,20330
Parvoviridae,10
Phycodnaviridae,19796
Picornaviridae,7916
Plasmaviridae,0
Podoviridae,3994
Polydnaviridae,114458
Polyomaviridae,5240
Potyviridae,1312
Poxviridae,6322
Reoviridae,18
Retroviridae,1902
Rhabdoviridae,6
Roniviridae,14
Rudiviridae,18
Secoviridae,2054
Siphoviridae,280
Sphaerolipoviridae,0
Tectiviridae,0
Togaviridae,4536
Tombusviridae,0
Totiviridae,0
Turriviridae,0
Tymoviridae,1406
Virgaviridae,6524
