"Sample_Number","Phycodnaviridae","Siphoviridae","Herpesviridae","Siphoviridae","Poxviridae","Papillomaviridae","Siphoviridae","Bornaviridae","Bicaudaviridae","Picornaviridae","Herpesviridae","Herpesviridae","Baculoviridae","Papillomaviridae","Myoviridae","Virgaviridae","Herpesviridae","Alloherpesviridae","Inoviridae","Marseilleviridae","Coronaviridae","Anelloviridae","Ascoviridae","Tymoviridae","k__Viruses","Myoviridae","Circoviridae","Rhabdoviridae","Picornaviridae","k__Viruses","Picornaviridae","Poxviridae","Tymoviridae","Arenaviridae","Totiviridae","Flaviviridae","Poxviridae","Anelloviridae","Gammaflexiviridae","k__Viruses","Hepeviridae","Virgaviridae","Caulimoviridae","Polydnaviridae","Herpesviridae","Papillomaviridae","Togaviridae","Betaflexiviridae","Podoviridae","Alphaflexiviridae","Phycodnaviridae","Lipothrixviridae","Papillomaviridae","Retroviridae","Siphoviridae","Poxviridae","Poxviridae","k__Viruses","Potyviridae","Podoviridae","Picornaviridae","Secoviridae","Siphoviridae","Coronaviridae","Baculoviridae","Papillomaviridae","Siphoviridae","Myoviridae","Papillomaviridae","Papillomaviridae","Coronaviridae","Luteoviridae","Phycodnaviridae","Hypoviridae","Anelloviridae","Dicistroviridae","k__Viruses","Phycodnaviridae","Picornaviridae","Virgaviridae","Siphoviridae","Baculoviridae","Arenaviridae","Marnaviridae","Myoviridae","Myoviridae","Partitiviridae","Reoviridae","Betaflexiviridae","Coronaviridae","Paramyxoviridae","Herpesviridae","Bromoviridae","Bunyaviridae","Closteroviridae","Myoviridae","Siphoviridae","Fuselloviridae","Bunyaviridae","Picornaviridae","Bunyaviridae","Mimiviridae","Poxviridae","Potyviridae","Herpesviridae","Picornaviridae","Podoviridae","Retroviridae","Secoviridae","Polydnaviridae","Herpesviridae","Luteoviridae","Flaviviridae","Poxviridae","Geminiviridae","Alloherpesviridae","Nyamiviridae","Potyviridae","Retroviridae","Microviridae","Siphoviridae","Iridoviridae","Picornaviridae","Iridoviridae","Alphaflexiviridae","Myoviridae","Caliciviridae","Poxviridae","k__Viruses","Paramyxoviridae","Chrysoviridae","Myoviridae","k__Viruses","Astroviridae","Secoviridae","Rudiviridae","Herpesviridae","Polyomaviridae","Alloherpesviridae","Picornaviridae","Secoviridae","Myoviridae","Poxviridae","Adenoviridae","Herpesviridae","Picornaviridae","Podoviridae","Herpesviridae","Adenoviridae","Lipothrixviridae","Iridoviridae","Closteroviridae","Siphoviridae","Siphoviridae","Orthomyxoviridae","Poxviridae","Papillomaviridae","Phycodnaviridae","Bunyaviridae","Picornaviridae","Siphoviridae","Dicistroviridae","Siphoviridae","Hytrosaviridae","Herpesviridae","Bromoviridae","Closteroviridae","Papillomaviridae","Papillomaviridae","Partitiviridae","Mimiviridae","Malacoherpesviridae","k__Viruses","Alphaflexiviridae","Siphoviridae","Retroviridae","Circoviridae","Betaflexiviridae","Secoviridae","Iflaviridae","Iridoviridae","Flaviviridae","Astroviridae","Virgaviridae","Roniviridae","k__Viruses","Bromoviridae","Herpesviridae","Nimaviridae","Hytrosaviridae","Virgaviridae","Siphoviridae","Myoviridae","Tymoviridae","Myoviridae","Myoviridae","Myoviridae","Papillomaviridae","Picornaviridae","Myoviridae","Siphoviridae","Endornaviridae","Reoviridae","Adenoviridae","Orthomyxoviridae","Alphaflexiviridae","Poxviridae","Podoviridae","Parvoviridae","Myoviridae","Baculoviridae","Siphoviridae","Picornaviridae","Ampullaviridae","Tectiviridae","Caulimoviridae","Anelloviridae","Papillomaviridae","Parvoviridae","Rhabdoviridae","Poxviridae","Anelloviridae","Turriviridae","Caulimoviridae","Siphoviridae","Myoviridae","Globuloviridae","Reoviridae","Reoviridae","Benyviridae","Parvoviridae","Asfarviridae","Luteoviridae","Paramyxoviridae","Filoviridae","Fuselloviridae","Picornaviridae","Bromoviridae","Podoviridae","Coronaviridae","Inoviridae","Secoviridae","Paramyxoviridae","k__Viruses","Siphoviridae","Alphaflexiviridae","Togaviridae","Betaflexiviridae","Siphoviridae","Sphaerolipoviridae","Myoviridae","Parvoviridae","Papillomaviridae","Siphoviridae","Siphoviridae","Caulimoviridae","Caulimoviridae","Sphaerolipoviridae","Siphoviridae","Myoviridae","Flaviviridae","Adenoviridae","Parvoviridae","Anelloviridae","Myoviridae","Siphoviridae","Retroviridae","Paramyxoviridae","Reoviridae","Lipothrixviridae","Reoviridae","Rhabdoviridae","Rhabdoviridae","Hepadnaviridae","Parvoviridae","Alphaflexiviridae","Picornaviridae","Mesoniviridae","Siphoviridae","Tombusviridae","Parvoviridae","k__Viruses","Secoviridae","Filoviridae","Geminiviridae","k__Viruses","Picornaviridae","Leviviridae","Picornaviridae","Retroviridae","Paramyxoviridae","Parvoviridae","Podoviridae","Reoviridae","Bromoviridae","Nanoviridae","Totiviridae","Nanoviridae","Papillomaviridae","Caulimoviridae","Tombusviridae","Totiviridae","Siphoviridae","Parvoviridae","Siphoviridae","Siphoviridae","Siphoviridae","Tombusviridae","Papillomaviridae","Orthomyxoviridae","Podoviridae","Podoviridae","Anelloviridae","Barnaviridae","Parvoviridae","Narnaviridae","Siphoviridae","Arteriviridae","Rhabdoviridae","Potyviridae","Geminiviridae","Picornaviridae","Siphoviridae","Myoviridae","k__Viruses","Megabirnaviridae","Corticoviridae","Bunyaviridae","Caulimoviridae","Retroviridae","Reoviridae","Myoviridae","k__Viruses","Narnaviridae","Reoviridae","Totiviridae","Siphoviridae","Potyviridae","Papillomaviridae","Reoviridae","Anelloviridae","Potyviridae","Iridoviridae","Rhabdoviridae","Rhabdoviridae","Closteroviridae","Papillomaviridae","Betaflexiviridae","k__Viruses","Hepadnaviridae","Siphoviridae","Podoviridae","Siphoviridae","Caliciviridae","Leviviridae","Microviridae","Siphoviridae","Picornaviridae","Plasmaviridae","Siphoviridae","Microviridae","Papillomaviridae","Siphoviridae"
"s15730",0,0,40,0,0,0,0,0,0,0,0,8,0,2,0,12,4,2,0,0,0,0,2,0,0,4,0,0,4,0,10,2,2,0,0,18,0,0,0,0,0,0,0,200,2,0,16,0,0,4,2,0,0,4,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,2,0,0,0,0,72,0,38,0,0,0,16,0,0,0,0,0,4,4,2,2,0,12,2,4,0,0,0,50,0,0,2,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,24,0,2,0,0,0,0,2,0,2,6,4,0,0,0,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0,2,26,0,0,0,8,0,0,2,0,0,4,0,10,20,0,0,0,0,14,168,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15736",0,0,26,0,0,0,0,0,0,0,0,8,2,0,2,4,12,0,0,0,6,0,2,0,0,16,0,0,0,0,4,4,2,0,0,8,0,0,0,0,2,0,0,140,2,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,2,0,0,0,0,10,0,10,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,88,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,18,0,0,0,0,0,0,6,0,2,2,0,0,2,0,0,0,2,0,0,12,0,2,0,0,0,2,2,0,0,0,8,26,0,0,0,2,0,0,2,0,0,2,0,8,14,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15616",8,0,108,0,0,0,0,2,0,2,0,52,0,0,4,54,38,36,0,0,8,0,6,0,0,50,0,0,10,0,48,16,14,0,0,42,0,4,0,2,2,6,0,456,22,0,68,0,0,4,32,0,0,0,0,6,8,12,0,0,0,0,0,4,92,0,0,0,0,0,0,0,18,18,2,0,0,6,0,34,0,44,0,0,0,0,144,2,282,0,0,0,36,2,2,0,0,0,0,8,72,2,0,22,8,20,0,0,0,314,2,0,0,2,0,170,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,4,20,0,0,20,50,2,4,10,0,6,0,28,18,28,92,18,0,2,0,0,0,0,2,0,48,0,10,0,2,0,2,12,0,2,0,0,78,2,0,0,6,0,0,88,0,8,6,2,84,42,0,0,2,2,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15639",10,0,220,0,2,0,0,0,0,6,2,454,4,2,4,120,122,328,0,0,24,0,14,0,0,116,0,0,8,0,70,94,34,0,0,144,6,8,0,10,2,0,0,2834,82,0,126,0,0,14,222,2,2,2,0,4,4,6,0,0,0,0,0,6,234,0,0,0,0,0,4,0,28,22,0,0,0,312,4,66,0,92,2,0,0,0,326,0,546,2,0,2,58,0,8,0,0,0,0,38,186,4,2,36,22,50,0,0,4,980,2,0,0,16,0,952,6,0,0,32,2,2,2,0,0,0,4,42,0,0,58,0,0,42,0,2,28,78,12,8,58,0,12,6,52,22,84,458,114,0,8,2,0,0,2,18,0,264,0,22,0,2,0,22,100,0,0,6,0,210,6,6,0,12,0,0,650,0,22,40,38,148,58,0,0,2,2,2,16,68,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15706",0,0,6,0,0,0,0,0,0,0,0,10,0,2,0,4,8,2,0,0,2,0,0,0,0,14,0,0,0,0,4,6,4,0,0,6,0,0,0,0,0,0,0,114,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,22,0,0,0,4,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,24,0,0,2,2,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,10,0,4,0,2,0,0,2,0,0,0,4,16,2,0,0,0,0,2,0,0,0,2,0,20,4,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15650",0,0,88,0,0,0,0,0,0,10,0,48,2,0,0,102,28,22,0,0,20,0,2,0,0,64,0,0,6,0,68,22,12,0,0,68,0,6,0,0,4,2,0,728,6,0,118,0,0,2,20,0,0,0,0,2,2,6,0,2,2,0,0,8,86,0,0,0,0,0,0,0,22,24,0,0,0,10,4,26,0,30,2,0,0,0,174,0,290,4,0,0,56,0,0,0,0,0,0,10,62,0,0,24,8,24,0,0,2,426,0,0,0,12,0,322,0,0,0,0,0,0,0,0,0,0,2,4,0,0,20,0,12,16,0,0,10,68,2,8,16,0,0,0,16,28,40,4882,4,0,4,0,0,0,4,4,0,128,0,12,2,2,0,12,20,0,0,2,4,92,0,0,0,8,0,0,14,0,6,14,6,96,36,0,0,2,2,0,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15704",0,0,18,0,0,0,0,0,0,0,0,14,0,2,0,10,0,0,0,0,2,0,2,0,0,4,0,0,0,0,2,2,6,0,0,8,0,0,0,0,0,0,0,140,2,0,18,0,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,20,0,28,0,0,0,6,0,0,0,0,0,0,2,10,0,0,4,0,2,0,0,0,44,0,0,0,0,0,12,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,32,0,0,0,0,0,0,4,4,0,2,0,0,2,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,82,14,0,0,0,0,0,0,10,0,0,2,0,10,12,0,0,0,0,4,44,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15735",0,0,34,0,0,0,0,0,0,0,0,6,0,0,2,6,0,0,0,0,2,0,0,0,0,20,0,0,0,0,18,4,4,0,0,16,0,2,0,0,0,0,0,62,0,0,16,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,22,0,22,0,0,0,2,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,50,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,4,0,0,2,0,0,2,2,0,0,4,24,2,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,198,22,0,0,0,6,0,4,0,0,0,0,0,12,8,0,0,0,0,0,204,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15699",0,0,24,0,0,0,0,0,0,0,0,12,0,0,0,4,8,0,0,0,4,0,0,0,2,6,0,0,0,0,2,2,0,0,0,4,0,2,0,0,0,2,0,192,0,0,2,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,2,2,0,0,0,2,2,6,0,0,0,0,0,0,18,0,20,0,0,0,6,0,0,0,0,0,0,2,28,0,0,4,0,0,0,0,0,40,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,18,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,2,0,6,0,2,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,4,2,0,0,4,0,10,12,0,0,0,0,22,48,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15707",0,0,14,0,0,0,0,0,0,0,0,20,0,0,0,0,6,0,0,0,0,0,4,0,0,10,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,112,0,0,16,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,20,0,38,0,0,0,10,0,0,0,0,0,0,0,18,6,0,6,2,0,0,0,0,30,2,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,18,0,0,0,0,0,0,36,4,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,10,0,0,0,2,36,0,0,0,0,0,2,6,0,0,2,0,14,8,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
