Column_Names,Sums
Phycodnaviridae,150
Siphoviridae,10
Herpesviridae,7544
Siphoviridae,6
Poxviridae,30
Papillomaviridae,0
Siphoviridae,0
Bornaviridae,2
Bicaudaviridae,10
Picornaviridae,134
Herpesviridae,18
Herpesviridae,7338
Baculoviridae,192
Papillomaviridae,42
Myoviridae,158
Virgaviridae,2618
Herpesviridae,2042
Alloherpesviridae,5036
Inoviridae,0
Marseilleviridae,0
Coronaviridae,452
Anelloviridae,22
Ascoviridae,464
Tymoviridae,2
k__Viruses,2
Myoviridae,2776
Circoviridae,8
Rhabdoviridae,0
Picornaviridae,180
k__Viruses,2
Picornaviridae,1720
Poxviridae,1846
Tymoviridae,1078
Arenaviridae,0
Totiviridae,0
Flaviviridae,3550
Poxviridae,38
Anelloviridae,388
Gammaflexiviridae,0
k__Viruses,80
Hepeviridae,88
Virgaviridae,56
Caulimoviridae,4
Polydnaviridae,50382
Herpesviridae,1302
Papillomaviridae,6
Togaviridae,2710
Betaflexiviridae,2
Podoviridae,2
Alphaflexiviridae,542
Phycodnaviridae,3250
Lipothrixviridae,8
Papillomaviridae,6
Retroviridae,506
Siphoviridae,0
Poxviridae,312
Poxviridae,136
k__Viruses,194
Potyviridae,0
Podoviridae,36
Picornaviridae,14
Secoviridae,6
Siphoviridae,0
Coronaviridae,290
Baculoviridae,5066
Papillomaviridae,0
Siphoviridae,8
Myoviridae,0
Papillomaviridae,0
Papillomaviridae,52
Coronaviridae,44
Luteoviridae,0
Phycodnaviridae,722
Hypoviridae,436
Anelloviridae,12
Dicistroviridae,42
k__Viruses,8
Phycodnaviridae,2822
Picornaviridae,108
Virgaviridae,1344
Siphoviridae,0
Baculoviridae,1650
Arenaviridae,70
Marnaviridae,0
Myoviridae,2
Myoviridae,24
Partitiviridae,8278
Reoviridae,12
Betaflexiviridae,17502
Coronaviridae,68
Paramyxoviridae,4
Herpesviridae,8
Bromoviridae,1606
Bunyaviridae,14
Closteroviridae,158
Myoviridae,8
Siphoviridae,0
Fuselloviridae,0
Bunyaviridae,12
Picornaviridae,674
Bunyaviridae,3714
Mimiviridae,62
Poxviridae,2
Potyviridae,876
Herpesviridae,428
Picornaviridae,764
Podoviridae,0
Retroviridae,2
Secoviridae,114
Polydnaviridae,20740
Herpesviridae,94
Luteoviridae,0
Flaviviridae,166
Poxviridae,438
Geminiviridae,0
Alloherpesviridae,16514
Nyamiviridae,92
Potyviridae,0
Retroviridae,46
Microviridae,1294
Siphoviridae,12
Iridoviridae,2
Picornaviridae,2
Iridoviridae,18
Alphaflexiviridae,0
Myoviridae,0
Caliciviridae,46
Poxviridae,358
k__Viruses,0
Paramyxoviridae,16
Chrysoviridae,1060
Myoviridae,4
k__Viruses,424
Astroviridae,866
Secoviridae,2
Rudiviridae,16
Herpesviridae,858
Polyomaviridae,3054
Alloherpesviridae,136
Picornaviridae,160
Secoviridae,874
Myoviridae,38
Poxviridae,328
Adenoviridae,244
Herpesviridae,1778
Picornaviridae,1010
Podoviridae,2332
Herpesviridae,32444
Adenoviridae,1260
Lipothrixviridae,0
Iridoviridae,248
Closteroviridae,10
Siphoviridae,2
Siphoviridae,0
Orthomyxoviridae,86
Poxviridae,450
Papillomaviridae,0
Phycodnaviridae,5460
Bunyaviridae,4
Picornaviridae,454
Siphoviridae,44
Dicistroviridae,74
Siphoviridae,36
Hytrosaviridae,222
Herpesviridae,1472
Bromoviridae,18
Closteroviridae,40
Papillomaviridae,178
Papillomaviridae,1588
Partitiviridae,5630
Mimiviridae,88
Malacoherpesviridae,54
k__Viruses,0
Alphaflexiviridae,314
Siphoviridae,2
Retroviridae,308
Circoviridae,11704
Betaflexiviridae,2
Secoviridae,506
Iflaviridae,544
Iridoviridae,868
Flaviviridae,3272
Astroviridae,1988
Virgaviridae,0
Roniviridae,22
k__Viruses,60
Bromoviridae,70
Herpesviridae,354
Nimaviridae,4538
Hytrosaviridae,1040
Virgaviridae,350
Siphoviridae,2
Myoviridae,66
Tymoviridae,16
Myoviridae,0
Myoviridae,2
Myoviridae,0
Papillomaviridae,0
Picornaviridae,0
Myoviridae,0
Siphoviridae,0
Endornaviridae,0
Reoviridae,0
Adenoviridae,0
Orthomyxoviridae,0
Alphaflexiviridae,0
Poxviridae,22
Podoviridae,0
Parvoviridae,0
Myoviridae,0
Baculoviridae,2
Siphoviridae,0
Picornaviridae,0
Ampullaviridae,0
Tectiviridae,2
Caulimoviridae,0
Anelloviridae,0
Papillomaviridae,2
Parvoviridae,0
Rhabdoviridae,2
Poxviridae,0
Anelloviridae,0
Turriviridae,0
Caulimoviridae,0
Siphoviridae,0
Myoviridae,0
Globuloviridae,0
Reoviridae,0
Reoviridae,0
Benyviridae,0
Parvoviridae,0
Asfarviridae,4
Luteoviridae,0
Paramyxoviridae,2
Filoviridae,0
Fuselloviridae,0
Picornaviridae,0
Bromoviridae,0
Podoviridae,0
Coronaviridae,0
Inoviridae,0
Secoviridae,0
Paramyxoviridae,0
k__Viruses,0
Siphoviridae,0
Alphaflexiviridae,0
Togaviridae,0
Betaflexiviridae,0
Siphoviridae,0
Sphaerolipoviridae,0
Myoviridae,0
Parvoviridae,0
Papillomaviridae,0
Siphoviridae,0
Siphoviridae,0
Caulimoviridae,0
Caulimoviridae,0
Sphaerolipoviridae,0
Siphoviridae,0
Myoviridae,0
Flaviviridae,0
Adenoviridae,0
Parvoviridae,0
Anelloviridae,0
Myoviridae,0
Siphoviridae,0
Retroviridae,0
Paramyxoviridae,0
Reoviridae,0
Lipothrixviridae,0
Reoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Hepadnaviridae,2
Parvoviridae,0
Alphaflexiviridae,0
Picornaviridae,0
Mesoniviridae,0
Siphoviridae,0
Tombusviridae,0
Parvoviridae,0
k__Viruses,4
Secoviridae,0
Filoviridae,0
Geminiviridae,0
k__Viruses,0
Picornaviridae,0
Leviviridae,0
Picornaviridae,0
Retroviridae,0
Paramyxoviridae,0
Parvoviridae,0
Podoviridae,0
Reoviridae,0
Bromoviridae,0
Nanoviridae,0
Totiviridae,4
Nanoviridae,0
Papillomaviridae,0
Caulimoviridae,0
Tombusviridae,0
Totiviridae,0
Siphoviridae,0
Parvoviridae,0
Siphoviridae,0
Siphoviridae,0
Siphoviridae,0
Tombusviridae,0
Papillomaviridae,0
Orthomyxoviridae,0
Podoviridae,0
Podoviridae,0
Anelloviridae,0
Barnaviridae,0
Parvoviridae,0
Narnaviridae,0
Siphoviridae,0
Arteriviridae,0
Rhabdoviridae,0
Potyviridae,0
Geminiviridae,0
Picornaviridae,0
Siphoviridae,0
Myoviridae,0
k__Viruses,0
Megabirnaviridae,0
Corticoviridae,0
Bunyaviridae,0
Caulimoviridae,0
Retroviridae,0
Reoviridae,0
Myoviridae,0
k__Viruses,0
Narnaviridae,0
Reoviridae,0
Totiviridae,0
Siphoviridae,0
Potyviridae,0
Papillomaviridae,0
Reoviridae,0
Anelloviridae,0
Potyviridae,0
Iridoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Closteroviridae,0
Papillomaviridae,0
Betaflexiviridae,0
k__Viruses,0
Hepadnaviridae,0
Siphoviridae,0
Podoviridae,0
Siphoviridae,0
Caliciviridae,0
Leviviridae,0
Microviridae,0
Siphoviridae,0
Picornaviridae,0
Plasmaviridae,0
Siphoviridae,0
Microviridae,0
Papillomaviridae,0
Siphoviridae,0
