Column_Names,Sums
Adenoviridae,1504
Alloherpesviridae,21686
Alphaflexiviridae,856
Ampullaviridae,0
Anelloviridae,422
Arenaviridae,70
Arteriviridae,0
Ascoviridae,464
Asfarviridae,4
Astroviridae,2854
Baculoviridae,6910
Barnaviridae,0
Benyviridae,0
Betaflexiviridae,17506
Bicaudaviridae,10
Bornaviridae,2
Bromoviridae,1694
Bunyaviridae,3744
Caliciviridae,46
Caulimoviridae,4
Chrysoviridae,1060
Circoviridae,11712
Closteroviridae,208
Coronaviridae,854
Corticoviridae,0
Dicistroviridae,116
Endornaviridae,0
Filoviridae,0
Flaviviridae,6988
Fuselloviridae,0
Gammaflexiviridae,0
Geminiviridae,0
Globuloviridae,0
Hepadnaviridae,2
Hepeviridae,88
Herpesviridae,55680
Hypoviridae,436
Hytrosaviridae,1262
Iflaviridae,544
Inoviridae,0
Iridoviridae,1136
k__Viruses,774
Leviviridae,0
Lipothrixviridae,8
Luteoviridae,0
Malacoherpesviridae,54
Marnaviridae,0
Marseilleviridae,0
Megabirnaviridae,0
Mesoniviridae,0
Microviridae,1294
Mimiviridae,150
Myoviridae,3078
Nanoviridae,0
Narnaviridae,0
Nimaviridae,4538
Nyamiviridae,92
Orthomyxoviridae,86
Papillomaviridae,1874
Paramyxoviridae,22
Partitiviridae,13908
Parvoviridae,0
Phycodnaviridae,12404
Picornaviridae,5220
Plasmaviridae,0
Podoviridae,2370
Polydnaviridae,71122
Polyomaviridae,3054
Potyviridae,876
Poxviridae,3960
Reoviridae,12
Retroviridae,862
Rhabdoviridae,2
Roniviridae,22
Rudiviridae,16
Secoviridae,1502
Siphoviridae,122
Sphaerolipoviridae,0
Tectiviridae,2
Togaviridae,2710
Tombusviridae,0
Totiviridae,4
Turriviridae,0
Tymoviridae,1096
Virgaviridae,4368
