"Sample_Number","Phycodnaviridae","Siphoviridae","Herpesviridae","Siphoviridae","Poxviridae","Papillomaviridae","Siphoviridae","Bornaviridae","Bicaudaviridae","Picornaviridae","Herpesviridae","Herpesviridae","Baculoviridae","Papillomaviridae","Myoviridae","Virgaviridae","Herpesviridae","Alloherpesviridae","Inoviridae","Marseilleviridae","Coronaviridae","Anelloviridae","Ascoviridae","Tymoviridae","k__Viruses","Myoviridae","Circoviridae","Rhabdoviridae","Picornaviridae","k__Viruses","Picornaviridae","Poxviridae","Tymoviridae","Arenaviridae","Totiviridae","Flaviviridae","Poxviridae","Anelloviridae","Gammaflexiviridae","k__Viruses","Hepeviridae","Virgaviridae","Caulimoviridae","Polydnaviridae","Herpesviridae","Papillomaviridae","Togaviridae","Betaflexiviridae","Podoviridae","Alphaflexiviridae","Phycodnaviridae","Lipothrixviridae","Papillomaviridae","Retroviridae","Siphoviridae","Poxviridae","Poxviridae","k__Viruses","Potyviridae","Podoviridae","Picornaviridae","Secoviridae","Siphoviridae","Coronaviridae","Baculoviridae","Papillomaviridae","Siphoviridae","Myoviridae","Papillomaviridae","Papillomaviridae","Coronaviridae","Luteoviridae","Phycodnaviridae","Hypoviridae","Anelloviridae","Dicistroviridae","k__Viruses","Phycodnaviridae","Picornaviridae","Virgaviridae","Siphoviridae","Baculoviridae","Arenaviridae","Marnaviridae","Myoviridae","Myoviridae","Partitiviridae","Reoviridae","Betaflexiviridae","Coronaviridae","Paramyxoviridae","Herpesviridae","Bromoviridae","Bunyaviridae","Closteroviridae","Myoviridae","Siphoviridae","Fuselloviridae","Bunyaviridae","Picornaviridae","Bunyaviridae","Mimiviridae","Poxviridae","Potyviridae","Herpesviridae","Picornaviridae","Podoviridae","Retroviridae","Secoviridae","Polydnaviridae","Herpesviridae","Luteoviridae","Flaviviridae","Poxviridae","Geminiviridae","Alloherpesviridae","Nyamiviridae","Potyviridae","Retroviridae","Microviridae","Siphoviridae","Iridoviridae","Picornaviridae","Iridoviridae","Alphaflexiviridae","Myoviridae","Caliciviridae","Poxviridae","k__Viruses","Paramyxoviridae","Chrysoviridae","Myoviridae","k__Viruses","Astroviridae","Secoviridae","Rudiviridae","Herpesviridae","Polyomaviridae","Alloherpesviridae","Picornaviridae","Secoviridae","Myoviridae","Poxviridae","Adenoviridae","Herpesviridae","Picornaviridae","Podoviridae","Herpesviridae","Adenoviridae","Lipothrixviridae","Iridoviridae","Closteroviridae","Siphoviridae","Siphoviridae","Orthomyxoviridae","Poxviridae","Papillomaviridae","Phycodnaviridae","Bunyaviridae","Picornaviridae","Siphoviridae","Dicistroviridae","Siphoviridae","Hytrosaviridae","Herpesviridae","Bromoviridae","Closteroviridae","Papillomaviridae","Papillomaviridae","Partitiviridae","Mimiviridae","Malacoherpesviridae","k__Viruses","Alphaflexiviridae","Siphoviridae","Retroviridae","Circoviridae","Betaflexiviridae","Secoviridae","Iflaviridae","Iridoviridae","Flaviviridae","Astroviridae","Virgaviridae","Roniviridae","k__Viruses","Bromoviridae","Herpesviridae","Nimaviridae","Hytrosaviridae","Virgaviridae","Siphoviridae","Myoviridae","Tymoviridae","Myoviridae","Myoviridae","Myoviridae","Papillomaviridae","Picornaviridae","Myoviridae","Siphoviridae","Endornaviridae","Reoviridae","Adenoviridae","Orthomyxoviridae","Alphaflexiviridae","Poxviridae","Podoviridae","Parvoviridae","Myoviridae","Baculoviridae","Siphoviridae","Picornaviridae","Ampullaviridae","Tectiviridae","Caulimoviridae","Anelloviridae","Papillomaviridae","Parvoviridae","Rhabdoviridae","Poxviridae","Anelloviridae","Turriviridae","Caulimoviridae","Siphoviridae","Myoviridae","Globuloviridae","Reoviridae","Reoviridae","Benyviridae","Parvoviridae","Asfarviridae","Luteoviridae","Paramyxoviridae","Filoviridae","Fuselloviridae","Picornaviridae","Bromoviridae","Podoviridae","Coronaviridae","Inoviridae","Secoviridae","Paramyxoviridae","k__Viruses","Siphoviridae","Alphaflexiviridae","Togaviridae","Betaflexiviridae","Siphoviridae","Sphaerolipoviridae","Myoviridae","Parvoviridae","Papillomaviridae","Siphoviridae","Siphoviridae","Caulimoviridae","Caulimoviridae","Sphaerolipoviridae","Siphoviridae","Myoviridae","Flaviviridae","Adenoviridae","Parvoviridae","Anelloviridae","Myoviridae","Siphoviridae","Retroviridae","Paramyxoviridae","Reoviridae","Lipothrixviridae","Reoviridae","Rhabdoviridae","Rhabdoviridae","Hepadnaviridae","Parvoviridae","Alphaflexiviridae","Picornaviridae","Mesoniviridae","Siphoviridae","Tombusviridae","Parvoviridae","k__Viruses","Secoviridae","Filoviridae","Geminiviridae","k__Viruses","Picornaviridae","Leviviridae","Picornaviridae","Retroviridae","Paramyxoviridae","Parvoviridae","Podoviridae","Reoviridae","Bromoviridae","Nanoviridae","Totiviridae","Nanoviridae","Papillomaviridae","Caulimoviridae","Tombusviridae","Totiviridae","Siphoviridae","Parvoviridae","Siphoviridae","Siphoviridae","Siphoviridae","Tombusviridae","Papillomaviridae","Orthomyxoviridae","Podoviridae","Podoviridae","Anelloviridae","Barnaviridae","Parvoviridae","Narnaviridae","Siphoviridae","Arteriviridae","Rhabdoviridae","Potyviridae","Geminiviridae","Picornaviridae","Siphoviridae","Myoviridae","k__Viruses","Megabirnaviridae","Corticoviridae","Bunyaviridae","Caulimoviridae","Retroviridae","Reoviridae","Myoviridae","k__Viruses","Narnaviridae","Reoviridae","Totiviridae","Siphoviridae","Potyviridae","Papillomaviridae","Reoviridae","Anelloviridae","Potyviridae","Iridoviridae","Rhabdoviridae","Rhabdoviridae","Closteroviridae","Papillomaviridae","Betaflexiviridae","k__Viruses","Hepadnaviridae","Siphoviridae","Podoviridae","Siphoviridae","Caliciviridae","Leviviridae","Microviridae","Siphoviridae","Picornaviridae","Plasmaviridae","Siphoviridae","Microviridae","Papillomaviridae","Siphoviridae"
"s15679",0,0,16,0,0,0,0,0,0,0,0,8,0,0,0,18,10,16,0,0,2,0,0,0,0,16,0,0,2,0,14,10,4,0,0,16,0,2,0,0,0,0,0,236,2,0,22,0,0,0,10,0,0,2,0,0,0,4,0,0,0,0,0,2,24,0,0,0,0,0,0,0,2,2,0,0,0,2,0,4,0,4,0,0,0,0,32,2,32,0,0,0,8,0,0,0,0,0,0,0,14,0,0,6,2,2,0,0,0,54,2,0,6,0,0,24,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,2,0,0,0,6,2,10,4,4,0,0,0,0,0,0,0,0,40,0,6,0,0,0,0,4,0,0,0,20,30,2,0,0,0,0,4,0,0,0,10,0,30,8,0,0,0,0,0,108,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15693",0,0,40,0,0,0,0,0,0,0,0,2,0,8,0,6,8,18,0,0,4,0,8,0,0,2,0,0,0,0,8,10,0,0,0,6,0,0,0,0,0,0,0,204,0,0,0,0,0,0,10,0,0,6,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,0,0,0,6,4,2,0,10,0,0,0,0,32,0,32,0,0,0,4,0,0,0,2,0,0,0,26,0,0,10,0,2,0,0,0,52,2,0,4,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,2,8,0,0,0,0,0,0,8,0,8,2,6,0,0,0,0,0,0,2,0,16,0,0,0,0,2,2,2,0,0,0,2,26,0,0,0,4,0,8,6,0,0,2,0,26,14,0,0,0,0,0,378,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15603",10,4,104,0,0,2,0,0,0,6,12,178,14,2,2,22,128,326,0,0,6,0,34,0,0,32,0,0,2,0,10,78,40,0,0,88,2,16,0,10,2,0,0,4866,98,0,32,0,0,14,130,0,0,0,0,16,6,2,0,4,2,0,0,16,498,0,0,0,0,0,0,0,126,12,0,0,0,16,2,22,0,132,6,0,0,2,202,4,28,2,0,0,40,0,0,2,0,0,2,10,698,4,0,18,12,18,0,0,0,546,0,0,2,60,2,636,34,0,0,0,0,0,0,0,0,0,2,38,0,0,86,0,18,20,4,0,40,50,28,0,10,0,30,10,140,2,272,266,64,0,6,4,0,0,2,56,2,438,0,6,6,0,0,24,92,0,60,4,3226,120,6,0,0,10,0,4,530,0,14,16,118,30,24,2,0,6,4,4,10,336,4,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15673",0,0,2,0,0,0,0,0,0,2,0,26,0,2,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,82,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,18,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,4,0,0,16,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,28,0,2,0,0,0,8,0,0,0,0,0,6,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15734",0,0,14,0,0,0,0,0,0,0,0,22,0,0,0,6,6,2,0,0,2,0,2,0,0,22,0,0,0,0,6,0,0,0,0,20,0,0,0,0,0,0,0,110,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,30,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,2,0,0,0,86,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,6,0,0,4,2,0,2,2,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,31722,30,0,0,0,0,0,0,0,0,0,2,0,10,12,0,0,0,0,124,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s15636",8,0,220,0,6,0,0,0,0,6,0,394,2,0,4,88,148,322,0,0,8,0,26,0,0,70,0,0,12,0,62,100,24,0,0,96,2,6,0,2,0,4,0,3522,84,0,82,0,0,8,276,0,0,0,0,8,2,4,0,0,0,0,0,8,352,0,0,0,0,2,0,0,28,8,0,0,0,190,4,52,0,100,0,0,0,0,122,0,218,2,2,0,66,2,4,0,0,0,0,12,230,4,0,42,16,40,0,2,2,774,2,0,4,14,0,944,10,0,0,62,0,0,0,0,0,0,0,34,0,0,74,0,10,20,0,0,36,98,6,12,62,0,2,0,68,18,158,418,82,0,14,0,0,0,4,14,0,792,0,16,0,0,2,22,72,0,0,4,2,144,8,0,0,10,0,4,152,0,18,18,36,74,30,0,0,4,2,4,8,50,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16194",4,0,82,0,0,0,0,0,0,0,0,22,0,4,0,40,18,10,0,0,2,0,2,0,0,34,0,0,0,0,28,14,10,0,0,30,0,4,0,0,0,0,0,296,10,0,30,0,0,2,16,0,0,0,0,0,0,2,0,0,0,0,0,4,36,0,0,0,0,0,2,0,8,0,0,0,0,4,0,22,0,18,0,0,2,0,58,0,156,0,0,0,20,0,4,0,0,0,0,10,22,0,0,14,2,14,0,0,2,200,0,0,0,2,0,134,0,0,2,0,0,0,0,0,0,0,0,4,0,0,16,0,8,4,0,0,12,34,0,0,4,0,0,2,8,14,20,44,0,0,2,0,0,0,0,6,0,28,0,4,0,0,0,6,8,0,0,0,2,42,2,2,0,8,0,0,80,0,6,4,4,42,14,0,0,2,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16305",0,0,12,0,0,0,0,0,0,0,0,10,0,2,0,2,2,0,0,0,2,0,6,0,0,6,0,0,0,0,2,2,2,0,0,6,0,0,0,0,0,0,0,80,0,0,10,0,0,2,0,0,0,10,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,2,0,2,0,2,0,0,0,0,16,0,16,0,0,0,4,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,24,2,0,10,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,2,0,0,8,0,2,2,0,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,14072,32,2,0,0,0,0,8,2,0,0,0,0,6,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16252",0,0,22,0,0,0,0,0,0,6,0,4,0,2,0,10,6,4,0,0,2,0,2,0,0,12,0,0,2,0,10,2,2,0,0,14,0,0,0,0,0,0,0,164,0,0,12,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,32,0,62,2,0,0,6,0,0,0,0,0,0,0,4,2,0,10,6,0,0,0,0,94,2,0,4,0,0,32,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,24,0,0,2,0,0,10,8,6,8,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,12588,32,0,0,0,4,0,0,2,0,8,0,0,24,14,0,0,0,0,6,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s16241",0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,4,6,0,0,0,4,0,2,0,0,10,0,0,2,0,4,2,0,0,0,12,0,0,0,0,0,0,0,168,2,0,2,0,0,6,2,0,0,4,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,6,0,0,0,0,18,0,24,0,0,0,8,0,0,0,0,0,0,0,8,0,0,2,2,0,0,0,0,52,2,0,2,0,0,16,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,14,0,0,0,0,0,0,6,2,2,2,0,0,10,0,0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,41546,22,0,0,0,2,0,2,0,0,0,0,0,10,12,0,0,0,0,8,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
