Column_Names,Sums
Phycodnaviridae,60
Siphoviridae,10
Herpesviridae,1974
Siphoviridae,0
Poxviridae,34
Papillomaviridae,4
Siphoviridae,0
Bornaviridae,0
Bicaudaviridae,6
Picornaviridae,46
Herpesviridae,52
Herpesviridae,2616
Baculoviridae,66
Papillomaviridae,46
Myoviridae,48
Virgaviridae,682
Herpesviridae,1422
Alloherpesviridae,3340
Inoviridae,0
Marseilleviridae,0
Coronaviridae,144
Anelloviridae,6
Ascoviridae,350
Tymoviridae,0
k__Viruses,0
Myoviridae,784
Circoviridae,4
Rhabdoviridae,0
Picornaviridae,64
k__Viruses,0
Picornaviridae,568
Poxviridae,926
Tymoviridae,350
Arenaviridae,0
Totiviridae,0
Flaviviridae,1020
Poxviridae,26
Anelloviridae,118
Gammaflexiviridae,0
k__Viruses,66
Hepeviridae,28
Virgaviridae,26
Caulimoviridae,2
Polydnaviridae,37822
Herpesviridae,872
Papillomaviridae,8
Togaviridae,796
Betaflexiviridae,0
Podoviridae,0
Alphaflexiviridae,144
Phycodnaviridae,2150
Lipothrixviridae,2
Papillomaviridae,4
Retroviridae,172
Siphoviridae,0
Poxviridae,110
Poxviridae,64
k__Viruses,74
Potyviridae,6
Podoviridae,18
Picornaviridae,2
Secoviridae,0
Siphoviridae,0
Coronaviridae,122
Baculoviridae,3624
Papillomaviridae,0
Siphoviridae,6
Myoviridae,0
Papillomaviridae,0
Papillomaviridae,16
Coronaviridae,6
Luteoviridae,0
Phycodnaviridae,782
Hypoviridae,134
Anelloviridae,8
Dicistroviridae,14
k__Viruses,6
Phycodnaviridae,1258
Picornaviridae,38
Virgaviridae,342
Siphoviridae,0
Baculoviridae,1124
Arenaviridae,26
Marnaviridae,0
Myoviridae,2
Myoviridae,2
Partitiviridae,2416
Reoviridae,12
Betaflexiviridae,2454
Coronaviridae,30
Paramyxoviridae,8
Herpesviridae,2
Bromoviridae,526
Bunyaviridae,6
Closteroviridae,48
Myoviridae,6
Siphoviridae,2
Fuselloviridae,0
Bunyaviridae,6
Picornaviridae,152
Bunyaviridae,3854
Mimiviridae,36
Poxviridae,0
Potyviridae,326
Herpesviridae,134
Picornaviridae,306
Podoviridae,0
Retroviridae,14
Secoviridae,46
Polydnaviridae,7204
Herpesviridae,64
Luteoviridae,0
Flaviviridae,126
Poxviridae,320
Geminiviridae,4
Alloherpesviridae,6878
Nyamiviridae,106
Potyviridae,0
Retroviridae,16
Microviridae,600
Siphoviridae,4
Iridoviridae,0
Picornaviridae,0
Iridoviridae,18
Alphaflexiviridae,0
Myoviridae,0
Caliciviridae,12
Poxviridae,350
k__Viruses,0
Paramyxoviridae,8
Chrysoviridae,552
Myoviridae,0
k__Viruses,208
Astroviridae,210
Secoviridae,6
Rudiviridae,2
Herpesviridae,410
Polyomaviridae,914
Alloherpesviridae,136
Picornaviridae,56
Secoviridae,286
Myoviridae,10
Poxviridae,156
Adenoviridae,74
Herpesviridae,1188
Picornaviridae,182
Podoviridae,2146
Herpesviridae,3022
Adenoviridae,666
Lipothrixviridae,0
Iridoviridae,134
Closteroviridae,6
Siphoviridae,0
Siphoviridae,0
Orthomyxoviridae,28
Poxviridae,302
Papillomaviridae,2
Phycodnaviridae,4768
Bunyaviridae,6
Picornaviridae,172
Siphoviridae,20
Dicistroviridae,24
Siphoviridae,16
Hytrosaviridae,230
Herpesviridae,874
Bromoviridae,2
Closteroviridae,284
Papillomaviridae,38
Papillomaviridae,456254
Partitiviridae,1940
Mimiviridae,38
Malacoherpesviridae,12
k__Viruses,0
Alphaflexiviridae,122
Siphoviridae,2
Retroviridae,154
Circoviridae,4692
Betaflexiviridae,0
Secoviridae,152
Iflaviridae,180
Iridoviridae,568
Flaviviridae,962
Astroviridae,622
Virgaviridae,2
Roniviridae,6
k__Viruses,38
Bromoviridae,66
Herpesviridae,418
Nimaviridae,2194
Hytrosaviridae,1454
Virgaviridae,102
Siphoviridae,4
Myoviridae,58
Tymoviridae,10
Myoviridae,0
Myoviridae,0
Myoviridae,0
Papillomaviridae,0
Picornaviridae,0
Myoviridae,0
Siphoviridae,0
Endornaviridae,0
Reoviridae,0
Adenoviridae,0
Orthomyxoviridae,0
Alphaflexiviridae,0
Poxviridae,14
Podoviridae,4
Parvoviridae,0
Myoviridae,0
Baculoviridae,0
Siphoviridae,0
Picornaviridae,0
Ampullaviridae,0
Tectiviridae,0
Caulimoviridae,0
Anelloviridae,0
Papillomaviridae,0
Parvoviridae,0
Rhabdoviridae,0
Poxviridae,0
Anelloviridae,0
Turriviridae,0
Caulimoviridae,0
Siphoviridae,0
Myoviridae,0
Globuloviridae,0
Reoviridae,0
Reoviridae,0
Benyviridae,0
Parvoviridae,0
Asfarviridae,0
Luteoviridae,0
Paramyxoviridae,0
Filoviridae,0
Fuselloviridae,0
Picornaviridae,0
Bromoviridae,0
Podoviridae,0
Coronaviridae,0
Inoviridae,0
Secoviridae,0
Paramyxoviridae,0
k__Viruses,0
Siphoviridae,0
Alphaflexiviridae,0
Togaviridae,0
Betaflexiviridae,0
Siphoviridae,0
Sphaerolipoviridae,0
Myoviridae,0
Parvoviridae,0
Papillomaviridae,0
Siphoviridae,0
Siphoviridae,0
Caulimoviridae,0
Caulimoviridae,0
Sphaerolipoviridae,0
Siphoviridae,0
Myoviridae,0
Flaviviridae,0
Adenoviridae,0
Parvoviridae,0
Anelloviridae,0
Myoviridae,0
Siphoviridae,0
Retroviridae,0
Paramyxoviridae,0
Reoviridae,0
Lipothrixviridae,0
Reoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Hepadnaviridae,0
Parvoviridae,0
Alphaflexiviridae,0
Picornaviridae,0
Mesoniviridae,0
Siphoviridae,0
Tombusviridae,0
Parvoviridae,0
k__Viruses,0
Secoviridae,0
Filoviridae,0
Geminiviridae,0
k__Viruses,0
Picornaviridae,2
Leviviridae,0
Picornaviridae,0
Retroviridae,0
Paramyxoviridae,0
Parvoviridae,0
Podoviridae,0
Reoviridae,0
Bromoviridae,0
Nanoviridae,0
Totiviridae,0
Nanoviridae,0
Papillomaviridae,0
Caulimoviridae,0
Tombusviridae,0
Totiviridae,0
Siphoviridae,0
Parvoviridae,0
Siphoviridae,0
Siphoviridae,0
Siphoviridae,0
Tombusviridae,0
Papillomaviridae,0
Orthomyxoviridae,0
Podoviridae,0
Podoviridae,0
Anelloviridae,0
Barnaviridae,0
Parvoviridae,0
Narnaviridae,0
Siphoviridae,0
Arteriviridae,0
Rhabdoviridae,0
Potyviridae,0
Geminiviridae,0
Picornaviridae,0
Siphoviridae,0
Myoviridae,0
k__Viruses,0
Megabirnaviridae,0
Corticoviridae,0
Bunyaviridae,0
Caulimoviridae,0
Retroviridae,0
Reoviridae,0
Myoviridae,0
k__Viruses,0
Narnaviridae,0
Reoviridae,0
Totiviridae,0
Siphoviridae,0
Potyviridae,0
Papillomaviridae,0
Reoviridae,0
Anelloviridae,0
Potyviridae,0
Iridoviridae,0
Rhabdoviridae,0
Rhabdoviridae,0
Closteroviridae,0
Papillomaviridae,0
Betaflexiviridae,0
k__Viruses,0
Hepadnaviridae,0
Siphoviridae,0
Podoviridae,0
Siphoviridae,0
Caliciviridae,0
Leviviridae,0
Microviridae,0
Siphoviridae,0
Picornaviridae,0
Plasmaviridae,0
Siphoviridae,0
Microviridae,0
Papillomaviridae,0
Siphoviridae,0
