Column_Names,Sums
Adenoviridae,740
Alloherpesviridae,10354
Alphaflexiviridae,266
Ampullaviridae,0
Anelloviridae,132
Arenaviridae,26
Arteriviridae,0
Ascoviridae,350
Asfarviridae,0
Astroviridae,832
Baculoviridae,4814
Barnaviridae,0
Benyviridae,0
Betaflexiviridae,2454
Bicaudaviridae,6
Bornaviridae,0
Bromoviridae,594
Bunyaviridae,3872
Caliciviridae,12
Caulimoviridae,2
Chrysoviridae,552
Circoviridae,4696
Closteroviridae,338
Coronaviridae,302
Corticoviridae,0
Dicistroviridae,38
Endornaviridae,0
Filoviridae,0
Flaviviridae,2108
Fuselloviridae,0
Gammaflexiviridae,0
Geminiviridae,4
Globuloviridae,0
Hepadnaviridae,0
Hepeviridae,28
Herpesviridae,13048
Hypoviridae,134
Hytrosaviridae,1684
Iflaviridae,180
Inoviridae,0
Iridoviridae,720
k__Viruses,392
Leviviridae,0
Lipothrixviridae,2
Luteoviridae,0
Malacoherpesviridae,12
Marnaviridae,0
Marseilleviridae,0
Megabirnaviridae,0
Mesoniviridae,0
Microviridae,600
Mimiviridae,74
Myoviridae,910
Nanoviridae,0
Narnaviridae,0
Nimaviridae,2194
Nyamiviridae,106
Orthomyxoviridae,28
Papillomaviridae,456372
Paramyxoviridae,16
Partitiviridae,4356
Parvoviridae,0
Phycodnaviridae,9018
Picornaviridae,1588
Plasmaviridae,0
Podoviridae,2168
Polydnaviridae,45026
Polyomaviridae,914
Potyviridae,332
Poxviridae,2302
Reoviridae,12
Retroviridae,356
Rhabdoviridae,0
Roniviridae,6
Rudiviridae,2
Secoviridae,490
Siphoviridae,64
Sphaerolipoviridae,0
Tectiviridae,0
Togaviridae,796
Tombusviridae,0
Totiviridae,0
Turriviridae,0
Tymoviridae,360
Virgaviridae,1154
