Sample_Number,Firmicutes,Actinobacteria,Bacteroidetes,Chlamydiae,Proteobacteria,k_Bacteria,Cyanobacteria,Chloroflexi,Gemmatimonadetes,Aquificae,Acidobacteria,Thermotogae,Deinococcus,Synergistetes,Planctomycetes,Fibrobacteres,Tenericutes,Spirochaetes,Verrucomicrobia,Nitrospirae,Fusobacteria,Thermodesulfobacteria,Armatimonadetes,Ignavibacteriae,Chlorobi,Caldiserica,Lentisphaerae,Candidatus_Cloacimonetes,Chrysiogenetes,Deferribacteres,Elusimicrobia,Rhodothermaeota,Nitrospinae,Dictyoglomi,Primary_Site
s15486,1537049,646147,167059,102972,609895,1,8784,389,19,18,319,197,327,3,5967,1,5055,4361,547,13,393267,105,2,0,22,0,0,0,7,30,1,0,2,0,Base_of_tongue
s15513,54658,33474,6338,1189,95092,0,655,7,0,1,2,13,213,1,1576,0,914,608,48,90,13,11,0,0,0,0,0,0,0,0,0,0,4,0,Base_of_tongue
s15548,5505652,2972820,196497,467689,2304559,0,35507,1493,29,69,1145,378,1712,9,21360,1,15469,11239,2516,60,980,345,7,1,47,1,0,0,27,50,11,1,8,1,Base_of_tongue
s15569,34515,20929,8117,1824,146910,0,577,8,0,0,8,27,72,1,1932,0,2133,1272,6,1,17,20,1,0,0,0,0,0,0,1,0,0,3,0,Base_of_tongue
s15585,37535,38371,10742,1802,76900,0,485,14,1,4,7,32,287,0,2732,0,2454,1408,89,1,134,24,0,0,0,0,0,0,0,1,0,0,3,0,Base_of_tongue
s15593,28476,19890,5110,707,61517,0,236,3,0,0,2,16,67,1,785,0,591,292,34,113,22,7,0,0,0,0,0,0,0,0,0,0,3,0,Base_of_tongue
s15603,32234,17853,8773,1267,41655,0,721,5,1,0,3,27,72,0,1544,0,1717,1012,3,46,22,21,0,0,0,0,0,0,0,0,0,0,3,0,Base_of_tongue
s15636,579107,320738,44391,54944,224002,0,3951,145,4,25,30,249,254,2,6399,1,8486,47149,375,4,5944,129,1,2,6,0,0,0,2,4,3,1,0,1,Base_of_tongue
s15673,50738,50167,8057,1453,95121,0,521,6,2,2,8,37,67,1,1730,0,2033,1177,27,3,31,25,1,0,2,0,0,0,0,0,1,0,3,3,Base_of_tongue
s15679,66126,40572,10068,1236,124395,0,374,9,0,0,7,26,191,1,1521,1,1608,850,71,370,26,14,0,0,1,0,0,0,0,0,0,0,1,0,Base_of_tongue
s15693,46204,30228,10949,1524,82087,0,1652,10,0,0,9,44,140,4,1888,1,2462,2615,7,123,56,30,0,0,1,1,0,0,0,0,0,0,8,1,Base_of_tongue
s15734,60746,41057,10663,1713,90939,0,4206,21,6,1,14,36,286,1,1720,0,2141,1256,16,207,36,22,2,0,1,0,0,0,0,2,2,0,7,1,Base_of_tongue
s15789,26341,23723,11878,1398,93341,0,597,6,0,3,7,24,901,2,1351,2,1296,752,4,11,18,20,1,0,0,0,0,0,0,0,1,0,5,1,Base_of_tongue
s15795,25016,25629,8742,1559,105847,0,1409,10,1,1,9,18,110,3,1558,2,1942,1284,5,6,59,14,0,0,0,0,0,0,0,0,0,0,7,1,Base_of_tongue
s15830,3937266,2269386,115752,336273,1716214,4,34448,444,6,130,730,751,1043,7,25490,0,24310,12467,3600,10,598,389,0,0,16,1,0,0,22,17,1,2,2,0,Base_of_tongue
s15831,418479,206871,19386,26376,208003,0,4952,91,7,16,36,370,105,3,8918,0,12197,6171,88,11,163,164,0,0,6,0,0,0,1,4,0,0,0,0,Base_of_tongue
s15840,63860,50846,16697,2524,100124,0,765,9,2,3,16,17,91,5,2557,2,1986,1167,4,37,72,14,0,0,0,0,0,0,0,0,0,0,4,0,Base_of_tongue
s15863,4899319,2330112,230721,415260,2440109,1,39078,1873,31,62,1537,1318,770,114,22633,0,20268,22209,4609,97,7847,314,5,0,61,1,0,0,21,98,28,0,5,1,Base_of_tongue
s15867,377537,236964,28672,26698,148244,1,2127,46,2,8,27,92,156,3,4598,0,4662,2248,90,7,4539,66,0,0,2,0,0,0,3,1,0,0,0,0,Base_of_tongue
s15871,523292,282374,9355,27080,183746,0,2155,52,0,5,25,145,82,2,3683,0,5292,2653,128,1,85,69,0,0,1,0,0,0,0,1,1,0,0,0,Base_of_tongue
s15919,308557,140381,10215,21872,144166,1,1884,42,0,7,17,111,58,2,3246,0,4730,2361,108,2,81445,65,0,0,1,0,0,0,1,4,0,0,0,0,Base_of_tongue
s15953,478933,299453,9805,29414,178900,0,2713,38,1,13,33,144,118,2,3976,0,5593,2821,203,4,77,77,0,0,0,0,0,0,2,2,0,0,0,0,Base_of_tongue
