Phylum,Abundance
Actinobacteria,0.001217799
Actinobacteria,0.022268639
Actinobacteria,0.001660529
Actinobacteria,0.207875614
Actinobacteria,0.010755247
Actinobacteria,0.004730296
Actinobacteria,0.002310845
Actinobacteria,0.030884683
Actinobacteria,0.003738326
Actinobacteria,0.041912958
Actinobacteria,0.381272923
Actinobacteria,0.019447524
Actinobacteria,0.016059625
Actinobacteria,0.024733349
Actinobacteria,0.203249809
Actinobacteria,0.023377289
Actinobacteria,0.004504545
Bacteroidetes,0.001704747
Bacteroidetes,0.039713512
Bacteroidetes,0.002412334
Bacteroidetes,0.710765962
Bacteroidetes,0.001461442
Bacteroidetes,0.001345429
Bacteroidetes,0.001574232
Bacteroidetes,0.003543461
Bacteroidetes,0.002577146
Bacteroidetes,0.059613658
Bacteroidetes,0.108699826
Bacteroidetes,0.002963626
Bacteroidetes,0.004462358
Bacteroidetes,0.006493506
Bacteroidetes,0.043810567
Bacteroidetes,0.00284324
Bacteroidetes,0.006014953
Chloroflexi,0.000275028
Chloroflexi,0.028052805
Chloroflexi,0.001650165
Chloroflexi,0.413641364
Chloroflexi,0.00880088
Chloroflexi,0.002750275
Chloroflexi,0.001650165
Chloroflexi,0.016776678
Chloroflexi,0.00220022
Chloroflexi,0.014851485
Chloroflexi,0.26430143
Chloroflexi,0.011826183
Chloroflexi,0.025027503
Chloroflexi,0.014576458
Chloroflexi,0.172717272
Chloroflexi,0.016226623
Chloroflexi,0.004675468
Firmicutes,0.001026883
Firmicutes,0.02877517
Firmicutes,0.001431897
Firmicutes,0.211368124
Firmicutes,0.009695741
Firmicutes,0.004175668
Firmicutes,0.001341012
Firmicutes,0.025529712
Firmicutes,0.002915763
Firmicutes,0.036428479
Firmicutes,0.407966679
Firmicutes,0.019758736
Firmicutes,0.016703431
Firmicutes,0.024888484
Firmicutes,0.187317408
Firmicutes,0.018581374
Firmicutes,0.002095438
Fusobacteria,0.002746255
Fusobacteria,0.090676125
Fusobacteria,4.46381E-05
Fusobacteria,0.493316466
Fusobacteria,0.000230292
Fusobacteria,0.000832906
Fusobacteria,3.95655E-05
Fusobacteria,0.015937815
Fusobacteria,3.75365E-05
Fusobacteria,0.000192755
Fusobacteria,0.025107892
Fusobacteria,0.000650295
Fusobacteria,0.000331742
Fusobacteria,0.364925241
Fusobacteria,0.002441905
Fusobacteria,0.000206958
Fusobacteria,0.002281613
Proteobacteria,0.005702645
Proteobacteria,0.019316516
Proteobacteria,0.010077212
Proteobacteria,0.193789569
Proteobacteria,0.006655048
Proteobacteria,0.00303844
Proteobacteria,0.01062167
Proteobacteria,0.018353484
Proteobacteria,0.018749737
Proteobacteria,0.013149514
Proteobacteria,0.280291218
Proteobacteria,0.013943613
Proteobacteria,0.015792613
Proteobacteria,0.014649259
Proteobacteria,0.34880162
Proteobacteria,0.019388569
Proteobacteria,0.007679275
Spirochaetes,0.013048646
Spirochaetes,0.032664369
Spirochaetes,0.007875362
Spirochaetes,0.125381583
Spirochaetes,0.014374033
Spirochaetes,0.008089134
Spirochaetes,0.004720087
Spirochaetes,0.033861493
Spirochaetes,0.008567984
Spirochaetes,0.026721506
Spirochaetes,0.203750417
Spirochaetes,0.03034708
Spirochaetes,0.059762114
Spirochaetes,0.0770691
Spirochaetes,0.31061934
Spirochaetes,0.032074358
Spirochaetes,0.011073392
Synergistetes,0.00927357
Synergistetes,0.010819165
Synergistetes,0.00309119
Synergistetes,0.470891293
Synergistetes,0.004121587
Synergistetes,0.002060793
Synergistetes,0.00927357
Synergistetes,0.006697579
Synergistetes,0.001030397
Synergistetes,0.007727975
Synergistetes,0.311179804
Synergistetes,0.004121587
Synergistetes,0.019577537
Synergistetes,0.013910355
Synergistetes,0.114889232
Synergistetes,0.007212777
Synergistetes,0.004121587
Tenericutes,0.007331484
Tenericutes,0.039443504
Tenericutes,0.00850236
Tenericutes,0.1447863
Tenericutes,0.01676454
Tenericutes,0.009817343
Tenericutes,0.005271943
Tenericutes,0.039485535
Tenericutes,0.008802584
Tenericutes,0.029139797
Tenericutes,0.243145873
Tenericutes,0.027668696
Tenericutes,0.07407741
Tenericutes,0.045087726
Tenericutes,0.249894921
Tenericutes,0.039701697
Tenericutes,0.011078287
Thermotogae,0.001151042
Thermotogae,0.023916102
Thermotogae,0.002429978
Thermotogae,0.069318327
Thermotogae,0.008952551
Thermotogae,0.005499424
Thermotogae,0.002174191
Thermotogae,0.024171889
Thermotogae,0.003325233
Thermotogae,0.014835657
Thermotogae,0.10218698
Thermotogae,0.014707763
Thermotogae,0.047576416
Thermotogae,0.023916102
Thermotogae,0.627701752
Thermotogae,0.025067144
Thermotogae,0.003069446
Verrucomicrobia,0.000307314
Verrucomicrobia,0.01244622
Verrucomicrobia,0.000614628
Verrucomicrobia,0.173709281
Verrucomicrobia,0.003995083
Verrucomicrobia,0.004609711
Verrucomicrobia,0.000384143
Verrucomicrobia,0.023202213
Verrucomicrobia,0.001613399
Verrucomicrobia,0.007529195
Verrucomicrobia,0.542870313
Verrucomicrobia,0.010755993
Verrucomicrobia,0.006837738
Verrucomicrobia,0.01813153
Verrucomicrobia,0.168254456
Verrucomicrobia,0.02281807
Verrucomicrobia,0.001920713
